drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_triamcinolone_benetonide,Triamcinolone,2,2,2,2,1.0
@CHEMICAL_vitamin_D3_sulfoconjugate,Cholecalciferol,2,2,2,2,1.0
@CHEMICAL_butaphosphan_cyanocobalamin_drug_combination,Cyanocobalamin,2,2,1,1,0.5
@CHEMICAL_estradiol_17_beta_glucuronide,Estradiol,1,1,34,34,34.0
@CHEMICAL_Epitestosterone,Testosterone,1,1,3,3,3.0
@CHEMICAL_cyclothiazide_triamterene_drug_combination,Triamterene,1,1,2,2,2.0
@CHEMICAL_hydralazine_4_anisaldehyde_hydrazone,Hydralazine,1,1,2,2,2.0
@CHEMICAL_hydralazine_acetone_hydrazone,Hydralazine,1,1,2,2,2.0
@CHEMICAL_11_ketoprogesterone,Progesterone,1,1,1,1,1.0
@CHEMICAL_16_dehydroprogesterone,Progesterone,1,1,1,1,1.0
@CHEMICAL_1_O_hexadecylpropanediol_3_phosphoacyclovir,Acyclovir,1,1,1,1,1.0
@CHEMICAL_1_O_octadecyl_sn_glycero_3_phospho_acyclovir,Acyclovir,1,1,1,1,1.0
@CHEMICAL_2_6_dimethylclonidine,Clonidine,1,1,1,1,1.0
@CHEMICAL_2_hydroxyatorvastatin,Atorvastatin,1,1,1,1,1.0
@CHEMICAL_4'_hydroxydiclofenac,Diclofenac,1,1,1,1,1.0
@CHEMICAL_6_O_desmethyl_donepezil,Donepezil,1,1,1,1,1.0
@CHEMICAL_99mTc_CPFXDTC,Ciprofloxacin,1,1,1,1,1.0
@CHEMICAL_N_desmethylvenlafaxine,Venlafaxine,1,1,1,1,1.0
@CHEMICAL_N_phenylethyl_amitriptyline,Amitriptyline,1,1,1,1,1.0
@CHEMICAL_acetaminophen_glucuronide,Acetaminophen,1,1,1,1,1.0
@CHEMICAL_amlodipine_losartan_drug_combination,Amlodipine,1,1,1,1,1.0
@CHEMICAL_atenolol_chlortalidone_drug_combinations,Atenolol,1,1,1,1,1.0
@CHEMICAL_chlorthalidone_dihydroergocristine_mesilate_metipranolol_drug_combination,Chlorthalidone,1,1,1,1,1.0
@CHEMICAL_clonidine_chlorthalidone_drug_combination,Clonidine,1,1,1,1,1.0
@CHEMICAL_cyanocobalamin_pyridoxine_thiamine_drug_combination,Cyanocobalamin,1,1,1,1,1.0
@CHEMICAL_desmethylcitalopram,Escitalopram,1,1,1,1,1.0
@CHEMICAL_donepezil_N_oxide,Donepezil,1,1,1,1,1.0
@CHEMICAL_furosemide_glucuronide,Furosemide,1,1,1,1,1.0
@CHEMICAL_hydrochlorothiazide_lisinopril_drug_combination,Lisinopril,1,1,1,1,1.0
@CHEMICAL_ibuprofen_acyl_glucuronide,Ibuprofen,1,1,1,1,1.0
@CHEMICAL_ibuprofen_piconol,Ibuprofen,1,1,1,1,1.0
@CHEMICAL_isosorbide_diaspirinate,Isosorbide,1,1,1,1,1.0
@CHEMICAL_lipoyl_memantine,Memantine,1,1,1,1,1.0
@CHEMICAL_methotrexate_alpha_alanine,Methotrexate,1,1,1,1,1.0
@CHEMICAL_methotrexate_gamma_1_2_dimyristoylphosphatidylethanolamine,Methotrexate,1,1,1,1,1.0
@CHEMICAL_nifedipine_co_dergocrine_combination,Nifedipine,1,1,1,1,1.0
@CHEMICAL_oxycodone_terephthalate,Oxycodone,1,1,1,1,1.0
@CHEMICAL_propranolol_CR,Propranolol,1,1,1,1,1.0
@CHEMICAL_propranolol_mustard,Propranolol,1,1,1,1,1.0
@CHEMICAL_rosuvastatin_lactone,Rosuvastatin,1,1,1,1,1.0
@CHEMICAL_simvastatin_hydroxyacid,Simvastatin,1,1,1,1,1.0
@CHEMICAL_triamcinolone_acetonide_21_palmitate,Triamcinolone,1,1,1,1,1.0
