drug_id,drug_name,n_diseases,n_edges,pmid_count_sum,total_articles_sum,total_articles_median
@CHEMICAL_Valsartan,Valsartan,418,418,3665,5858,2.0
@CHEMICAL_Valacyclovir,Valacyclovir,418,418,2046,2268,1.0
@CHEMICAL_Hydrochlorothiazide,Hydrochlorothiazide,417,417,3050,5655,2.0
@CHEMICAL_empagliflozin,Empagliflozin,409,409,3461,5558,2.0
@CHEMICAL_Hydralazine,Hydralazine,409,409,2682,3974,2.0
@CHEMICAL_Lorazepam,Lorazepam,407,407,2828,3453,2.0
@CHEMICAL_Citalopram,Citalopram,399,399,2778,3993,2.0
@CHEMICAL_Sulfamethoxazole,Sulfamethoxazole,393,393,1544,1544,1.0
@CHEMICAL_Methylprednisolone_Hemisuccinate,Methylprednisolone,393,393,912,912,1.0
@CHEMICAL_dapagliflozin,Dapagliflozin,391,391,3563,5535,2.0
@CHEMICAL_Venlafaxine_Hydrochloride,Venlafaxine,390,390,3171,4522,2.0
@CHEMICAL_Lisinopril,Lisinopril,390,390,2409,3062,2.0
@CHEMICAL_Escitalopram,Escitalopram,373,373,2217,3765,2.0
@CHEMICAL_Sitagliptin_Phosphate,Sitagliptin,373,373,2222,3651,2.0
@CHEMICAL_Bupropion,Bupropion,363,363,3334,4810,2.0
@CHEMICAL_Oxycodone,Oxycodone,343,343,2645,3952,2.0
@CHEMICAL_Ezetimibe,Ezetimibe,315,315,2598,3400,2.0
@CHEMICAL_Pantoprazole,Pantoprazole,312,312,1791,2003,2.0
@CHEMICAL_Cephalexin,Cephalexin,312,312,1226,1307,1.0
@CHEMICAL_Famotidine,Famotidine,306,306,1549,1656,1.0
@CHEMICAL_Trazodone,Trazodone,303,303,1869,2172,2.0
@CHEMICAL_Irbesartan,Irbesartan,302,302,1844,2270,2.0
@CHEMICAL_Isosorbide_Dinitrate,Isosorbide,299,299,1885,2234,2.0
@CHEMICAL_Buspirone,Buspirone,299,299,1690,1925,2.0
@CHEMICAL_Fluticasone,Fluticasone,297,297,2189,3970,2.0
@CHEMICAL_Alprazolam,Alprazolam,296,296,1652,2088,2.0
@CHEMICAL_Dextroamphetamine,Dextroamphetamine,290,290,1819,2126,2.0
@CHEMICAL_Ethinyl_Estradiol,Estradiol,286,286,1947,2029,2.0
@CHEMICAL_Cetirizine,Cetirizine,279,279,1677,1734,1.0
@CHEMICAL_olmesartan,Olmesartan,270,270,1591,1915,1.0
@CHEMICAL_Methylprednisolone_Acetate,Methylprednisolone,270,270,836,836,1.0
@CHEMICAL_Zolpidem,Zolpidem,268,268,1555,1927,2.0
@CHEMICAL_Levonorgestrel,Levonorgestrel,264,264,2767,3781,2.0
@CHEMICAL_Clobetasol,Clobetasol,264,264,1242,1347,2.0
@CHEMICAL_Ergocalciferols,Ergocalciferol,263,263,1187,1220,2.0
@CHEMICAL_Finasteride,Finasteride,257,257,1826,3262,2.0
@CHEMICAL_resolvin_D1,Aspirin,252,252,781,983,1.0
@CHEMICAL_prednisolone_acetate,Prednisolone,240,240,736,753,1.0
@CHEMICAL_Estriol,Estradiol,238,238,1218,1226,2.0
@CHEMICAL_Esomeprazole,Esomeprazole,237,237,1479,1838,2.0
@CHEMICAL_Hydroxyzine,Hydroxyzine,222,222,795,795,1.0
@CHEMICAL_Nitrofurantoin,Nitrofurantoin,221,221,1294,2017,1.0
@CHEMICAL_Sumatriptan,Sumatriptan,201,201,1359,2927,2.0
@CHEMICAL_Loratadine,Loratadine,199,199,1008,1050,1.0
@CHEMICAL_ferrous_sulfate,Ferrous Sulfate,183,183,748,827,1.0
@CHEMICAL_Testosterone_Propionate,Testosterone,182,182,709,771,2.0
@CHEMICAL_oxybutynin,Oxybutynin,177,177,1265,1666,2.0
@CHEMICAL_sacubitril_and_valsartan_sodium_hydrate_drug_combination,Valsartan,177,177,1204,1657,2.0
@CHEMICAL_Tamsulosin,Tamsulosin,168,168,1842,2753,2.0
@CHEMICAL_tizanidine,Tizanidine,166,166,676,723,1.5
@CHEMICAL_azelastine,Azelastine,163,163,947,980,1.0
@CHEMICAL_Norethindrone,Norethindrone,163,163,537,537,2.0
@CHEMICAL_Formoterol_Fumarate,Formoterol,162,162,899,2376,2.0
@CHEMICAL_isosorbide_5_mononitrate,Isosorbide,157,157,1011,1015,2.0
@CHEMICAL_Thyrotropin,Thyroid,150,150,1544,2144,2.0
@CHEMICAL_estradiol_3_benzoate,Estradiol,140,140,381,381,1.0
@CHEMICAL_Chlorthalidone,Chlorthalidone,135,135,857,1363,2.0
@CHEMICAL_glimepiride,Glimepiride,133,133,749,1315,2.0
@CHEMICAL_Dydrogesterone,Progesterone,128,128,513,513,2.0
@CHEMICAL_Tromethamine,Potassium Chloride,126,126,353,353,1.0
@CHEMICAL_testosterone_undecanoate,Testosterone,113,113,506,522,1.0
