drug_name,drug_id,disease_name,disease_id,pmid_count,total_articles
Atorvastatin,@CHEMICAL_Atorvastatin,Blood Platelet Disorders,@DISEASE_Blood_Platelet_Disorders,40,40
Atorvastatin,@CHEMICAL_Atorvastatin,HIV Infections,@DISEASE_HIV_Infections,33,33
Atorvastatin,@CHEMICAL_Atorvastatin,Epileptic Syndromes,@DISEASE_Epileptic_Syndromes,30,30
Atorvastatin,@CHEMICAL_Atorvastatin,Insulin Resistance,@DISEASE_Insulin_Resistance,46,46
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebrovascular Disorders,@DISEASE_Cerebrovascular_Disorders,28,28
Atorvastatin,@CHEMICAL_Atorvastatin,Drug Related Side Effects and Adverse Reactions,@DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions,71,71
Atorvastatin,@CHEMICAL_Atorvastatin,Hematoma,@DISEASE_Hematoma,31,31
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertrophy,@DISEASE_Hypertrophy,28,28
Atorvastatin,@CHEMICAL_Atorvastatin,Arthritis Rheumatoid,@DISEASE_Arthritis_Rheumatoid,26,26
Atorvastatin,@CHEMICAL_Atorvastatin,Extravasation of Diagnostic and Therapeutic Materials,@DISEASE_Extravasation_of_Diagnostic_and_Therapeutic_Materials,26,26
Atorvastatin,@CHEMICAL_Atorvastatin,Multiple Sclerosis,@DISEASE_Multiple_Sclerosis,32,32
Atorvastatin,@CHEMICAL_Atorvastatin,Nerve Degeneration,@DISEASE_Nerve_Degeneration,28,28
Atorvastatin,@CHEMICAL_Atorvastatin,Carcinoma Hepatocellular,@DISEASE_Carcinoma_Hepatocellular,27,27
Atorvastatin,@CHEMICAL_Atorvastatin,Hypoxia,@DISEASE_Hypoxia,29,29
Atorvastatin,@CHEMICAL_Atorvastatin,Sepsis,@DISEASE_Sepsis,26,26
Atorvastatin,@CHEMICAL_Atorvastatin,Thrombosis,@DISEASE_Thrombosis,31,31
Atorvastatin,@CHEMICAL_Atorvastatin,Angina Pectoris,@DISEASE_Angina_Pectoris,28,28
Atorvastatin,@CHEMICAL_Atorvastatin,Brain Injuries Traumatic,@DISEASE_Brain_Injuries_Traumatic,25,25
Atorvastatin,@CHEMICAL_Atorvastatin,Cardiomegaly,@DISEASE_Cardiomegaly,26,26
Atorvastatin,@CHEMICAL_Atorvastatin,Colorectal Neoplasms,@DISEASE_Colorectal_Neoplasms,26,26
Atorvastatin,@CHEMICAL_Atorvastatin,Lupus Erythematosus Systemic,@DISEASE_Lupus_Erythematosus_Systemic,31,31
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetes Mellitus Type 1,@DISEASE_Diabetes_Mellitus_Type_1,22,22
Atorvastatin,@CHEMICAL_Atorvastatin,Hyperplasia,@DISEASE_Hyperplasia,24,24
Atorvastatin,@CHEMICAL_Atorvastatin,Infections,@DISEASE_Infections,27,27
Atorvastatin,@CHEMICAL_Atorvastatin,Neuroinflammatory Diseases,@DISEASE_Neuroinflammatory_Diseases,22,22
Atorvastatin,@CHEMICAL_Atorvastatin,Pneumonia Lipid,@DISEASE_Pneumonia_Lipid,23,23
Atorvastatin,@CHEMICAL_Atorvastatin,Fatty Liver Alcoholic,@DISEASE_Fatty_Liver_Alcoholic,20,20
Atorvastatin,@CHEMICAL_Atorvastatin,Polycystic Ovary Syndrome,@DISEASE_Polycystic_Ovary_Syndrome,22,22
Atorvastatin,@CHEMICAL_Atorvastatin,Pulmonary Arterial Hypertension,@DISEASE_Pulmonary_Arterial_Hypertension,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Acrocephalosyndactylia,@DISEASE_Acrocephalosyndactylia,18,18
Atorvastatin,@CHEMICAL_Atorvastatin,Chest Pain,@DISEASE_Chest_Pain,23,23
Atorvastatin,@CHEMICAL_Atorvastatin,Liver Cirrhosis,@DISEASE_Liver_Cirrhosis,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Lung Neoplasms,@DISEASE_Lung_Neoplasms,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Neurologic Manifestations,@DISEASE_Neurologic_Manifestations,21,21
Atorvastatin,@CHEMICAL_Atorvastatin,Pain,@DISEASE_Pain,35,35
Atorvastatin,@CHEMICAL_Atorvastatin,Peripheral Arterial Disease,@DISEASE_Peripheral_Arterial_Disease,20,20
Atorvastatin,@CHEMICAL_Atorvastatin,Ventricular Dysfunction Left,@DISEASE_Ventricular_Dysfunction_Left,25,25
Atorvastatin,@CHEMICAL_Atorvastatin,Calcinosis,@DISEASE_Calcinosis,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Hypertension Pulmonary,@DISEASE_Hypertension_Pulmonary,20,20
Atorvastatin,@CHEMICAL_Atorvastatin,Wounds and Injuries,@DISEASE_Wounds_and_Injuries,23,23
Atorvastatin,@CHEMICAL_Atorvastatin,Depressive Disorder,@DISEASE_Depressive_Disorder,27,27
Atorvastatin,@CHEMICAL_Atorvastatin,Vascular System Injuries,@DISEASE_Vascular_System_Injuries,19,19
Atorvastatin,@CHEMICAL_Atorvastatin,Cerebral Hemorrhage,@DISEASE_Cerebral_Hemorrhage,30,30
Atorvastatin,@CHEMICAL_Atorvastatin,Diabetic Nephropathies,@DISEASE_Diabetic_Nephropathies,16,16
