config,truth_source,pmid,drugs_recall,drugs_total_truth,drugs_fn,diseases_recall,diseases_total_truth,diseases_fn,pairs_recall,pairs_total_truth,pairs_fn
07_all_plus_sing_drug,pubtator,8165073,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,8634919,1.0,1,0,1.0,1,0,1.0,1,0
07_all_plus_sing_drug,pubtator,9866667,1.0,1,0,0.5,2,1,0.5,2,1
07_all_plus_sing_drug,pubtator,12453952,1.0,1,0,1.0,1,0,1.0,1,0
07_all_plus_sing_drug,pubtator,12851021,,0,0,,0,0,,0,0
07_all_plus_sing_drug,pubtator,15468607,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,17097398,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,17580026,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,19169140,0.5,2,1,0.0,1,1,0.0,2,2
07_all_plus_sing_drug,pubtator,19342023,1.0,1,0,1.0,1,0,1.0,1,0
07_all_plus_sing_drug,pubtator,21075537,1.0,2,0,0.0,2,2,0.0,4,4
07_all_plus_sing_drug,pubtator,22915486,1.0,1,0,0.5,2,1,0.5,2,1
07_all_plus_sing_drug,pubtator,23082133,1.0,2,0,0.6666666666666666,3,1,0.6,5,2
07_all_plus_sing_drug,pubtator,23223108,1.0,1,0,0.5,2,1,0.5,2,1
07_all_plus_sing_drug,pubtator,23269105,1.0,1,0,0.5,2,1,0.5,2,1
07_all_plus_sing_drug,pubtator,23497779,1.0,1,0,0.5,2,1,0.0,2,2
07_all_plus_sing_drug,pubtator,23570952,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,23886594,,0,0,,0,0,,0,0
07_all_plus_sing_drug,pubtator,24506965,1.0,1,0,0.5,2,1,0.5,2,1
07_all_plus_sing_drug,pubtator,25297016,,0,0,,0,0,,0,0
07_all_plus_sing_drug,pubtator,25987260,,0,0,,0,0,,0,0
07_all_plus_sing_drug,pubtator,26123629,1.0,1,0,0.25,4,3,0.25,4,3
07_all_plus_sing_drug,pubtator,26550813,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,26572055,1.0,1,0,0.25,4,3,0.25,4,3
07_all_plus_sing_drug,pubtator,27367818,1.0,1,0,0.0,1,1,0.0,1,1
07_all_plus_sing_drug,pubtator,27761000,1.0,2,0,1.0,1,0,1.0,2,0
07_all_plus_sing_drug,pubtator,28416195,1.0,1,0,0.75,4,1,0.25,4,3
