drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Post-Operative Delirium; Icu Delirium; Acute Renal Failure; Delirium,2008-11-12 00:00:00+00:00,14,Acute Kidney Injury,Acute Kidney Injury,@DISEASE_Acute_Kidney_Injury,exact,True,,0,1,0
Atorvastatin,NCT00791648,Short-term Atorvastatin's Effect on Acute Kidney Injury Following Cardiac Surgery,COMPLETED,,Acute Kidney Injury; Post-Operative Delirium; Icu Delirium; Acute Renal Failure; Delirium,2008-11-12 00:00:00+00:00,14,Delirium,Delirium,@DISEASE_Delirium,exact,True,,0,5,0
Atorvastatin,NCT00795912,A Study Of The Usage Of Statins In A Community Heart Failure Population,COMPLETED,PHASE4,Heart Failure,2008-11-19 00:00:00+00:00,16,Heart Failure,Heart Failure,@DISEASE_Heart_Failure,exact,True,,0,4,0
Atorvastatin,NCT02386033,Atorvastatin in the Treatment of Mandibular Degree II Furcation Defects,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2014-11-30 00:00:00+00:00,17,Chronic Periodontitis,Chronic Periodontitis,@DISEASE_Chronic_Periodontitis,exact,True,,0,2,0
Atorvastatin,NCT02458755,Intensive Statin Treatment in Acute Ischemic Stroke Patients With INtracranial Atherosclerosis,UNKNOWN,PHASE4,Stroke; Intracranial Atherosclerosis,2015-05-05 00:00:00+00:00,19,Stroke,Stroke,@DISEASE_Stroke,exact,True,,0,5,0
Atorvastatin,NCT00143234,Amlodipine/Atorvastatin Combination to Reduce the Health Risk of High Blood Pressure and High Cholesterol Levels,COMPLETED,PHASE3,Hypertension; Hyperlipidemia,2005-08-31 00:00:00+00:00,21,Hypertension,Hypertension,@DISEASE_Hypertension,exact,True,,0,5,0
Atorvastatin,NCT00143234,Amlodipine/Atorvastatin Combination to Reduce the Health Risk of High Blood Pressure and High Cholesterol Levels,COMPLETED,PHASE3,Hypertension; Hyperlipidemia,2005-08-31 00:00:00+00:00,21,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT00930670,Evaluation of the Influence of Statins and Proton Pump Inhibitors on Clopidogrel Antiplatelet Effects,COMPLETED,PHASE4,Coronary Artery Disease,2009-06-29 00:00:00+00:00,22,Coronary Artery Disease,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,True,,0,4,0
Atorvastatin,NCT02819869,The Combination Effect of Statin Plus Metformin on Relapse-free,TERMINATED,PHASE2,Hepatocellular Carcinoma,2016-06-28 00:00:00+00:00,23,Hepatocellular Carcinoma,Carcinoma Hepatocellular,@DISEASE_Carcinoma_Hepatocellular,token_set_exact,True,,0,2,0
Atorvastatin,NCT02089061,Drug Interaction Statin,COMPLETED,PHASE1,Acute Coronary Syndromes,2014-03-14 00:00:00+00:00,25,Acute Coronary Syndromes,Acute Coronary Syndrome,@DISEASE_Acute_Coronary_Syndrome,token_set_exact,True,,0,2,0
