ct_disease,n_trials,n_rows,resolved_label,resolved_id,resolve_status,top_candidates,total_candidates_available
Atrial Fibrillation,242,370,Atrial Fibrillation,@DISEASE_Atrial_Fibrillation,exact,"[[""Atrial Fibrillation"", ""@DISEASE_Atrial_Fibrillation""], [""Atrial fibrillation familial 1"", ""@DISEASE_Atrial_fibrillation_familial_1""], [""Atrial Fibrillation Familial 3"", ""@DISEASE_Atrial_Fibrillation_Familial_3""], [""Atrial Fibrillation Familial 2"", ""@DISEASE_Atrial_Fibrillation_Familial_2""], [""Atrial Fibrillation Familial 4"", ""@DISEASE_Atrial_Fibrillation_Familial_4""]]",5
Heart Failure,239,312,Heart Failure,@DISEASE_Heart_Failure,exact,"[[""Heart Failure"", ""@DISEASE_Heart_Failure""], [""Heart Failure Diastolic"", ""@DISEASE_Heart_Failure_Diastolic""], [""Heart Failure Systolic"", ""@DISEASE_Heart_Failure_Systolic""], [""Lowry Maclean syndrome"", ""@DISEASE_Lowry_Maclean_syndrome""]]",4
Breast Cancer,210,243,Breast Cancer Lymphedema,@DISEASE_Breast_Cancer_Lymphedema,ambiguous,"[[""Breast Neoplasms"", ""@DISEASE_Breast_Neoplasms""], [""Triple Negative Breast Neoplasms"", ""@DISEASE_Triple_Negative_Breast_Neoplasms""], [""Hereditary Breast and Ovarian Cancer Syndrome"", ""@DISEASE_Hereditary_Breast_and_Ovarian_Cancer_Syndrome""], [""Breast Neoplasms Male"", ""@DISEASE_Breast_Neoplasms_Male""], [""Inflammatory Breast Neoplasms"", ""@DISEASE_Inflammatory_Breast_Neoplasms""]]",5
Rheumatoid Arthritis,207,265,Rheumatoid Arthritis Systemic Juvenile,@DISEASE_Rheumatoid_Arthritis_Systemic_Juvenile,contains,"[[""Arthritis Rheumatoid"", ""@DISEASE_Arthritis_Rheumatoid""], [""Arthritis Juvenile"", ""@DISEASE_Arthritis_Juvenile""], [""Rheumatoid Arthritis Systemic Juvenile"", ""@DISEASE_Rheumatoid_Arthritis_Systemic_Juvenile""], [""Felty Syndrome"", ""@DISEASE_Felty_Syndrome""]]",4
Healthy Volunteers,200,241,,,unresolved,[],0
Diabetes Mellitus,198,290,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,exact,"[[""Diabetes Mellitus"", ""@DISEASE_Diabetes_Mellitus""], [""Diabetes Mellitus Type 2"", ""@DISEASE_Diabetes_Mellitus_Type_2""], [""Diabetes Mellitus Type 1"", ""@DISEASE_Diabetes_Mellitus_Type_1""], [""Diabetes Gestational"", ""@DISEASE_Diabetes_Gestational""], [""Diabetes Complications"", ""@DISEASE_Diabetes_Complications""]]",5
Epilepsy,184,239,Epilepsy,@DISEASE_Epilepsy,exact,"[[""Epilepsy"", ""@DISEASE_Epilepsy""], [""Epilepsy Post-Traumatic"", ""@DISEASE_Epilepsy_Post_Traumatic""], [""Epilepsy Tonic-Clonic"", ""@DISEASE_Epilepsy_Tonic_Clonic""], [""Epilepsy Temporal Lobe"", ""@DISEASE_Epilepsy_Temporal_Lobe""], [""Epilepsy Absence"", ""@DISEASE_Epilepsy_Absence""]]",5
Hypercholesterolemia,181,335,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,"[[""Hypercholesterolemia"", ""@DISEASE_Hypercholesterolemia""], [""Hyperlipoproteinemia Type II"", ""@DISEASE_Hyperlipoproteinemia_Type_II""], [""Hyperlipoproteinemia Type III"", ""@DISEASE_Hyperlipoproteinemia_Type_III""], [""Hypercholesterolemia Autosomal Recessive"", ""@DISEASE_Hypercholesterolemia_Autosomal_Recessive""], [""Homozygous Familial Hypercholesterolemia"", ""@DISEASE_Homozygous_Familial_Hypercholesterolemia""]]",5
HIV Infections,181,205,HIV Infections,@DISEASE_HIV_Infections,exact,"[[""HIV Infections"", ""@DISEASE_HIV_Infections""], [""AIDS-Related Opportunistic Infections"", ""@DISEASE_AIDS_Related_Opportunistic_Infections""]]",2
Coronary Artery Disease,173,229,Coronary Artery Disease,@DISEASE_Coronary_Artery_Disease,exact,"[[""Coronary Artery Disease"", ""@DISEASE_Coronary_Artery_Disease""], [""Coronary Artery Disease Autosomal Dominant 1"", ""@DISEASE_Coronary_Artery_Disease_Autosomal_Dominant_1""], [""Coronary Artery Disease Development of in HIV"", ""@DISEASE_Coronary_Artery_Disease_Development_of_in_HIV""], [""Coronary Artery Disease Autosomal Dominant 2"", ""@DISEASE_Coronary_Artery_Disease_Autosomal_Dominant_2""]]",4
Bipolar Disorder,172,218,Bipolar Disorder,@DISEASE_Bipolar_Disorder,exact,"[[""Bipolar Disorder"", ""@DISEASE_Bipolar_Disorder""], [""Bipolar and Related Disorders"", ""@DISEASE_Bipolar_and_Related_Disorders""], [""Major Affective Disorder 3"", ""@DISEASE_Major_Affective_Disorder_3""]]",3
"Diabetes Mellitus, Type 1",158,176,Diabetes Mellitus Type 1,@DISEASE_Diabetes_Mellitus_Type_1,exact,"[[""Diabetes Mellitus Type 1"", ""@DISEASE_Diabetes_Mellitus_Type_1""], [""Latent Autoimmune Diabetes in Adults"", ""@DISEASE_Latent_Autoimmune_Diabetes_in_Adults""], [""Maturity-Onset Diabetes of the Young Type 1"", ""@DISEASE_Maturity_Onset_Diabetes_of_the_Young_Type_1""], [""Polyendocrinopathies Autoimmune"", ""@DISEASE_Polyendocrinopathies_Autoimmune""], [""Diabulimia"", ""@DISEASE_Diabulimia""]]",5
Postoperative Pain,157,212,Pain Postoperative,@DISEASE_Pain_Postoperative,ambiguous,"[[""Pain Postoperative"", ""@DISEASE_Pain_Postoperative""]]",1
Prostate Cancer,156,179,Prostate cancer familial,@DISEASE_Prostate_cancer_familial,ambiguous,"[[""Prostatic Neoplasms"", ""@DISEASE_Prostatic_Neoplasms""], [""Prostate cancer familial"", ""@DISEASE_Prostate_cancer_familial""], [""Prostate Cancer Hereditary 7"", ""@DISEASE_Prostate_Cancer_Hereditary_7""], [""Prostate Cancer Hereditary 3"", ""@DISEASE_Prostate_Cancer_Hereditary_3""], [""Prostate Cancer Hereditary 8"", ""@DISEASE_Prostate_Cancer_Hereditary_8""]]",5
Ocular Hypertension,146,148,Ocular Hypertension,@DISEASE_Ocular_Hypertension,exact,"[[""Ocular Hypertension"", ""@DISEASE_Ocular_Hypertension""], [""Renal Failure Progressive with Hypertension"", ""@DISEASE_Renal_Failure_Progressive_with_Hypertension""]]",2
Alzheimer's Disease,144,161,Alzheimer's disease without Neurofibrillary tangles,@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles,contains,"[[""Alzheimer Disease"", ""@DISEASE_Alzheimer_Disease""], [""Alzheimer's disease without Neurofibrillary tangles"", ""@DISEASE_Alzheimer's_disease_without_Neurofibrillary_tangles""]]",2
Osteoporosis,134,142,Osteoporosis,@DISEASE_Osteoporosis,exact,"[[""Osteoporosis"", ""@DISEASE_Osteoporosis""], [""Osteoporosis-pseudoglioma syndrome"", ""@DISEASE_Osteoporosis_pseudoglioma_syndrome""], [""Osteoporosis Postmenopausal"", ""@DISEASE_Osteoporosis_Postmenopausal""], [""Hajdu-Cheney Syndrome"", ""@DISEASE_Hajdu_Cheney_Syndrome""], [""Juvenile osteoporosis"", ""@DISEASE_Juvenile_osteoporosis""]]",5
"Pulmonary Disease, Chronic Obstructive",131,234,Pulmonary Disease Chronic Obstructive,@DISEASE_Pulmonary_Disease_Chronic_Obstructive,exact,"[[""Pulmonary Disease Chronic Obstructive"", ""@DISEASE_Pulmonary_Disease_Chronic_Obstructive""], [""Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome"", ""@DISEASE_Asthma_Chronic_Obstructive_Pulmonary_Disease_Overlap_Syndrome""], [""Pulmonary Disease Chronic Obstructive Severe Early-Onset"", ""@DISEASE_Pulmonary_Disease_Chronic_Obstructive_Severe_Early_Onset""]]",3
