"drug","disease","pmid","positive","pub_year","pub_types"
"Atorvastatin","Stroke Volume","37552303",TRUE,"2023","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Atorvastatin","Heart Diseases","37552303",TRUE,"2023","Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, N.I.H., Extramural"
"Atorvastatin","Cardiovascular Diseases","37450602",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural"
"Atorvastatin","HIV Infections","37450602",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural"
"Atorvastatin","Pain, Postoperative","37382345",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Chronic Disease","37263861",TRUE,"2025","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Coronary Disease","37186070",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Diabetes Mellitus, Type 2","37155629",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Kidney Diseases","37155629",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Stroke Volume","37120736",TRUE,"2023","Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Heart Diseases","37120736",TRUE,"2023","Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't"
"Atorvastatin","Diabetes Mellitus, Type 2","37013304",TRUE,"2022","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Coronary Artery Disease","36877807",TRUE,"2023","Equivalence Trial; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Stroke","36877807",TRUE,"2023","Equivalence Trial; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Diabetes Mellitus, Type 2","36825343",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Hypertension","36820569",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Carotid Artery Diseases","36820569",TRUE,"2023","Randomized Controlled Trial; Journal Article"
"Atorvastatin","Stroke","36707080",TRUE,"2023","Randomized Controlled Trial; Multicenter Study; Journal Article"
"Atorvastatin","Ischemic Stroke","36707080",TRUE,"2023","Randomized Controlled Trial; Multicenter Study; Journal Article"
"Atorvastatin","Coronary Disease","36622792",TRUE,"2023","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","HIV Infections","36549898",TRUE,"2023","Randomized Controlled Trial; Journal Article; Research Support, N.I.H., Extramural"
"Atorvastatin","Acute Coronary Syndrome","36473121",TRUE,"2023","Randomized Controlled Trial; Multicenter Study; Journal Article"
"Atorvastatin","Cardiovascular Diseases","36018037",TRUE,"2022","Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial"
"Atorvastatin","Ischemic Stroke","36018037",TRUE,"2022","Clinical Trial, Phase III; Journal Article; Randomized Controlled Trial"
"Atorvastatin","Acute Coronary Syndrome","35831153",TRUE,"2022","Journal Article; Randomized Controlled Trial"
"Atorvastatin","Cardiovascular Diseases","35730409",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
"Atorvastatin","Heart Disease Risk Factors","35730409",TRUE,"2022","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't"
