year,total_ct_trials
1999,226
2000,78
2001,70
2002,106
2003,97
2004,145
2005,1245
2006,998
2007,1125
2008,1429
2009,1234
2010,1230
2011,1103
2012,1112
2013,1115
2014,1136
2015,1174
2016,1129
2017,1126
2018,1074
2019,1078
2020,1193
2021,1150
2022,1080
2023,1050
2024,1117
2025,997
