drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,match_tier,tie_top_score,extra_tokens,missing_tokens,n_candidates_returned,shared_tokens_best,flag_too_specific,accept_any_candidate,accept_min_overlap
Atorvastatin,NCT00164086,Atorvastatin in Myeloma,UNKNOWN,PHASE1,Myeloma,2005-09-13 00:00:00+00:00,26,Myeloma,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT01673178,Multiple Dose Study Of PF-05231023 In Adult Subjects Who Have Poor Lipid Control With And Without Type 2 Diabetes Mellitus,COMPLETED,PHASE1,"Diabetes Melliuts, Type 2",2012-08-22 00:00:00+00:00,28,"Diabetes Melliuts, Type 2",,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT00457340,Atorvastatin For The Reduction Of Ventricular Arrhythmias,COMPLETED,PHASE4,Arrhythmia,2007-04-04 00:00:00+00:00,29,Arrhythmia,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT06930885,Polypill and Colchicine for Risk Reduction in Atherosclerotic Cardiovascular Disease,RECRUITING,PHASE3,Atherothrombotic Diseases; Atherosclerotic Cardiovascular Disease (ASCVD),2025-04-09 00:00:00+00:00,30,Atherothrombotic Diseases,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT06930885,Polypill and Colchicine for Risk Reduction in Atherosclerotic Cardiovascular Disease,RECRUITING,PHASE3,Atherothrombotic Diseases; Atherosclerotic Cardiovascular Disease (ASCVD),2025-04-09 00:00:00+00:00,30,Atherosclerotic Cardiovascular Disease (ASCVD),,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05697185,Safety and Efficacy of Evolocumab in Ischemic Stroke,UNKNOWN,PHASE4,"Ischemic Stroke, Acute",2023-01-15 00:00:00+00:00,32,"Ischemic Stroke, Acute",,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT00681525,"A Multiple-Dose Pharmacokinetic Interaction Study Between ABT-335, Atorvastatin and Ezetimibe",COMPLETED,PHASE1,Pharmacokinetics,2008-05-19 00:00:00+00:00,33,Pharmacokinetics,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Prostate Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Breast Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Kidney Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Ovarian Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Breast Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Kidney Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Renal Cell Carcinoma,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Renal Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Prostate Cancer,,,,False,0,0,0,0,False,False,False
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13 00:00:00+00:00,36,Metastatic Prostate Adenocarcinoma,,,,False,0,0,0,0,False,False,False
