disease_a,disease_b,shared_drugs
CT_UNMAPPED::atherosclerotic cardiovascular disease,CT_UNMAPPED::diabetes,11
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::heart disease,11
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::preeclampsia,11
CT_UNMAPPED::diabetes,CT_UNMAPPED::hemodialysis,11
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::cognitive impairment,11
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::drug interaction,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::copd,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::coronary heart disease,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::type 1 diabetes,11
CT_UNMAPPED::cancer,CT_UNMAPPED::drug interactions,11
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::prostate cancer,11
CT_UNMAPPED::diabetes,CT_UNMAPPED::oxidative stress,11
CT_UNMAPPED::menopause,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::type 1 diabetes,11
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::type 1 diabetes,11
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::hiv,11
CT_UNMAPPED::covid19,CT_UNMAPPED::hiv,11
CT_UNMAPPED::covid19,CT_UNMAPPED::pregnancy,11
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::alcohol use disorder,11
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::breast cancer,11
CT_UNMAPPED::cancer,CT_UNMAPPED::opioid use,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::hiv,11
CT_UNMAPPED::depression,CT_UNMAPPED::suicidal ideation,11
CT_UNMAPPED::gastric cancer,CT_UNMAPPED::pancreatic cancer,11
CT_UNMAPPED::lung cancer,CT_UNMAPPED::pregnancy,11
CT_UNMAPPED::non small cell lung cancer,CT_UNMAPPED::pancreatic cancer,11
CT_UNMAPPED::non small cell lung cancer,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::parkinson s disease,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::posttraumatic stress disorder,CT_UNMAPPED::psychosomatic disorders,11
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::congenital heart disease,11
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::heart failure with reduced ejection fraction,11
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::heart failure with reduced ejection fraction,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::lumbar spinal stenosis,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::preeclampsia,11
CT_UNMAPPED::cancer,CT_UNMAPPED::post operative pain,11
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::lung cancer,11
CT_UNMAPPED::pancreatic cancer,CT_UNMAPPED::surgery,11
CT_UNMAPPED::covid,CT_UNMAPPED::high blood pressure,11
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::colorectal cancer,11
CT_UNMAPPED::blood pressure,CT_UNMAPPED::covid19,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::crohn s disease,11
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::pregnancy,11
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::lung cancer,11
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::pregnancy,11
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::kidney disease,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::parkinson s disease,11
CT_UNMAPPED::breast cancer,CT_UNMAPPED::posttraumatic stress disorder,11
CT_UNMAPPED::pre diabetes,CT_UNMAPPED::type 2 diabetes,11
CT_UNMAPPED::diabetes,CT_UNMAPPED::diabetes type 2,11
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::posttraumatic stress disorder,11
CT_UNMAPPED::analgesia,CT_UNMAPPED::narcotic use,10
CT_UNMAPPED::bariatric surgery candidate,CT_UNMAPPED::surgery,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::esophageal cancer,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::sclerosis systemic,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::covid19,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::narcotic use,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::rotator cuff tear,10
CT_UNMAPPED::covid19,CT_UNMAPPED::drug interactions,10
CT_UNMAPPED::covid19,CT_UNMAPPED::kidney transplant,10
CT_UNMAPPED::covid19,CT_UNMAPPED::sclerosis systemic,10
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::post operative pain,10
CT_UNMAPPED::narcotic use,CT_UNMAPPED::post operative pain,10
CT_UNMAPPED::opioid use,CT_UNMAPPED::rotator cuff tear,10
CT_UNMAPPED::pain management,CT_UNMAPPED::rotator cuff tear,10
CT_UNMAPPED::post operative pain,CT_UNMAPPED::rotator cuff tear,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::opioid use disorder,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::migraine,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::neuropathic pain,10
CT_UNMAPPED::migraine,CT_UNMAPPED::post operative pain,10
CT_UNMAPPED::migraine,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::neuropathic pain,CT_UNMAPPED::pain management,10
CT_UNMAPPED::neuropathic pain,CT_UNMAPPED::post operative pain,10
CT_UNMAPPED::pain management,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::post operative pain,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::migraine,10
CT_UNMAPPED::migraine,CT_UNMAPPED::unspecified adult solid tumor protocol specific,10
CT_UNMAPPED::cancer,CT_UNMAPPED::intracerebral hemorrhage,10
CT_UNMAPPED::complications,CT_UNMAPPED::kidney transplant,10
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::lung cancer,10
CT_UNMAPPED::hiv,CT_UNMAPPED::lung cancer,10
CT_UNMAPPED::lung cancer,CT_UNMAPPED::ovarian cancer,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::copd,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::non small cell lung cancer,10
CT_UNMAPPED::covid19,CT_UNMAPPED::non small cell lung cancer,10
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::sickle cell disease,10
CT_UNMAPPED::blood pressure,CT_UNMAPPED::cancer,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::cirrhosis,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::ovarian cancer,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::pre diabetes,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::schizoaffective disorder,10
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::chronic kidney diseases,10
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::kidney disease,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::congestive heart failure,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::ischemic heart disease,10
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::end stage renal disease,10
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::end stage renal disease,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::ischemic heart disease,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::pre diabetes,10
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::ischemic heart disease,10
CT_UNMAPPED::prediabetes,CT_UNMAPPED::type 1 diabetes,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::generalized anxiety disorder,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::sleep disorders,10
CT_UNMAPPED::brain tumors,CT_UNMAPPED::migraine,10
CT_UNMAPPED::brain tumors,CT_UNMAPPED::neuropathy,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::major depression,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::treatment resistant depression,10
CT_UNMAPPED::cancer,CT_UNMAPPED::treatment resistant depression,10
CT_UNMAPPED::insomnia,CT_UNMAPPED::major depression,10
CT_UNMAPPED::insomnia,CT_UNMAPPED::mild cognitive impairment,10
CT_UNMAPPED::major depression,CT_UNMAPPED::unipolar depression,10
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::neuropathy,10
CT_UNMAPPED::psychosomatic disorders,CT_UNMAPPED::unipolar depression,10
CT_UNMAPPED::aging,CT_UNMAPPED::blood pressure,10
CT_UNMAPPED::aging,CT_UNMAPPED::depression,10
CT_UNMAPPED::arterial hypertension,CT_UNMAPPED::chronic kidney disease,10
CT_UNMAPPED::arterial hypertension,CT_UNMAPPED::diabetes,10
CT_UNMAPPED::blood pressure,CT_UNMAPPED::high blood pressure,10
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::drug drug interaction,10
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::high blood pressure,10
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::hiv,10
CT_UNMAPPED::congestive heart failure,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::intracerebral hemorrhage,10
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::head and neck cancer,10
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::surgery,10
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::covid19,10
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::chronic kidney diseases,10
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::covid19,10
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::diabetes,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::surgery,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::sickle cell disease,10
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::bipolar depression,10
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::mild cognitive impairment,10
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::pregnancy,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::chronic low back pain,10
CT_UNMAPPED::autism,CT_UNMAPPED::mild cognitive impairment,10
CT_UNMAPPED::autism,CT_UNMAPPED::psychosomatic disorders,10
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::generalized anxiety disorder,10
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::magnetic resonance imaging,10
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::major depression,10
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::treatment resistant depression,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::mild cognitive impairment,10
CT_UNMAPPED::depression,CT_UNMAPPED::major depressive disorder mdd,10
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::treatment resistant depression,10
CT_UNMAPPED::major depression,CT_UNMAPPED::ptsd,10
CT_UNMAPPED::major depressive disorder mdd,CT_UNMAPPED::psychosomatic disorders,10
CT_UNMAPPED::schizoaffective disorder,CT_UNMAPPED::schizophreniform disorder,10
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::cardiovascular disease,10
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::cardiovascular disease,10
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::coronary heart disease,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::percutaneous coronary intervention,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::coronary heart disease,10
CT_UNMAPPED::covid,CT_UNMAPPED::covid19,10
CT_UNMAPPED::covid19,CT_UNMAPPED::endothelial dysfunction,10
CT_UNMAPPED::diabetes type 2,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::atherosclerotic cardiovascular disease,CT_UNMAPPED::cardiovascular disease,10
CT_UNMAPPED::aging,CT_UNMAPPED::alzheimer s disease,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::cardiovascular disease,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::sickle cell disease,10
CT_UNMAPPED::atherosclerotic cardiovascular disease,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::oxidative stress,10
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::coronary heart disease,10
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::oxidative stress,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::cognitive impairment,10
CT_UNMAPPED::covid19,CT_UNMAPPED::type 1 diabetes,10
CT_UNMAPPED::drug interaction,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::menopause,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::ovarian cancer,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::oxidative stress,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::cocaine dependence,10
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::cancer,10
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::cancer,10
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::hiv,10
CT_UNMAPPED::alcohol use disorder,CT_UNMAPPED::psychosomatic disorders,10
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::end stage renal disease,10
CT_UNMAPPED::depression,CT_UNMAPPED::pancreatic cancer,10
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::lung cancer,10
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::non small cell lung cancer,10
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::pregnancy,10
CT_UNMAPPED::lung cancer,CT_UNMAPPED::psychosomatic disorders,10
CT_UNMAPPED::lung cancer,CT_UNMAPPED::schizoaffective disorder,10
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::pregnancy related,10
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::suicidal ideation,10
CT_UNMAPPED::obese,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::psychosomatic disorders,CT_UNMAPPED::suicidal ideation,10
CT_UNMAPPED::aging,CT_UNMAPPED::covid,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::hemodialysis,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::heart failure with reduced ejection fraction,10
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::congenital heart disease,10
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::coronary heart disease,10
CT_UNMAPPED::covid,CT_UNMAPPED::kidney disease,10
CT_UNMAPPED::hematopoietic and lymphoid cell neoplasm,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::cancer,CT_UNMAPPED::lumbar spinal stenosis,10
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::lumbar spinal stenosis,10
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::ovarian cancer,10
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::pancreatic cancer,10
CT_UNMAPPED::covid19,CT_UNMAPPED::lung cancer,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::complications,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cognition,10
CT_UNMAPPED::acute heart failure,CT_UNMAPPED::diabetes,10
CT_UNMAPPED::arterial hypertension,CT_UNMAPPED::cardiovascular disease,10
CT_UNMAPPED::arterial hypertension,CT_UNMAPPED::covid,10
CT_UNMAPPED::aging,CT_UNMAPPED::colorectal cancer,10
CT_UNMAPPED::aging,CT_UNMAPPED::pregnancy,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::colorectal cancer,10
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::crohn s disease,10
CT_UNMAPPED::crohn s disease,CT_UNMAPPED::end stage renal disease,10
CT_UNMAPPED::crohn s disease,CT_UNMAPPED::prostate cancer,10
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::cognitive impairment,10
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::major depression,10
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::psychosomatic disorders,10
CT_UNMAPPED::major depression,CT_UNMAPPED::posttraumatic stress disorder,10
CT_UNMAPPED::menopause,CT_UNMAPPED::posttraumatic stress disorder,10
CT_UNMAPPED::menopause,CT_UNMAPPED::ptsd,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::impaired glucose tolerance,10
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::type2 diabetes,10
CT_UNMAPPED::diabetes,CT_UNMAPPED::diabetic kidney disease,10
CT_UNMAPPED::diabetic kidney disease,CT_UNMAPPED::type 2 diabetes,10
CT_UNMAPPED::breast cancer,CT_UNMAPPED::drug drug interaction,10
CT_UNMAPPED::hiv,CT_UNMAPPED::hiv 1 infection,10
CT_UNMAPPED::prostate cancer,CT_UNMAPPED::schizoaffective disorder,10
CT_UNMAPPED::analgesia,CT_UNMAPPED::total knee arthroplasty,9
CT_UNMAPPED::bariatric surgery candidate,CT_UNMAPPED::head and neck cancer,9
CT_UNMAPPED::bariatric surgery candidate,CT_UNMAPPED::opioid use,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::cesarean section,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::neuropathy,9
CT_UNMAPPED::cesarean section,CT_UNMAPPED::post operative pain,9
CT_UNMAPPED::children,CT_UNMAPPED::covid19,9
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::insomnia,9
CT_UNMAPPED::covid19,CT_UNMAPPED::head and neck cancer,9
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::opioid use,9
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::pain management,9
CT_UNMAPPED::narcotic use,CT_UNMAPPED::surgery,9
CT_UNMAPPED::sickle cell disease,CT_UNMAPPED::surgery,9
CT_UNMAPPED::analgesia,CT_UNMAPPED::neuropathic pain,9
CT_UNMAPPED::analgesia,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::opioid dependence,9
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::sleep,9
CT_UNMAPPED::colon cancer,CT_UNMAPPED::head and neck cancer,9
CT_UNMAPPED::colon cancer,CT_UNMAPPED::surgery,9
CT_UNMAPPED::migraine,CT_UNMAPPED::pain management,9
CT_UNMAPPED::neuropathic pain,CT_UNMAPPED::opioid use,9
CT_UNMAPPED::neuropathic pain,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::opioid dependence,CT_UNMAPPED::surgery,9
CT_UNMAPPED::opioid use,CT_UNMAPPED::opioid use disorder,9
CT_UNMAPPED::opioid use,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::opioid use,CT_UNMAPPED::surgery complications,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::head and neck cancer,9
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::unspecified adult solid tumor protocol specific,9
CT_UNMAPPED::pregnancy related,CT_UNMAPPED::unspecified adult solid tumor protocol specific,9
CT_UNMAPPED::surgery,CT_UNMAPPED::unspecified adult solid tumor protocol specific,9
CT_UNMAPPED::complications,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::kidney transplant,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::kidney transplantation,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::non small cell lung cancer,CT_UNMAPPED::ovarian cancer,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::pancreatic cancer,9
CT_UNMAPPED::acute lymphoblastic leukemia,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::blood pressure,CT_UNMAPPED::congestive heart failure,9
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::congestive heart failure,9
CT_UNMAPPED::chronic heart failure,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::ischemic heart disease,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::prediabetes,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::heart failure congestive,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::ovarian cancer,9
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::schizoaffective disorder,9
CT_UNMAPPED::psychosomatic disorders,CT_UNMAPPED::sleep disorders,9
CT_UNMAPPED::brain tumors,CT_UNMAPPED::depression,9
CT_UNMAPPED::cancer,CT_UNMAPPED::insomnia,9
CT_UNMAPPED::cancer,CT_UNMAPPED::unipolar depression,9
CT_UNMAPPED::depression,CT_UNMAPPED::neuropathy,9
CT_UNMAPPED::head and neck cancer,CT_UNMAPPED::hiv,9
CT_UNMAPPED::hiv,CT_UNMAPPED::insomnia,9
CT_UNMAPPED::neuropathy,CT_UNMAPPED::psychosomatic disorders,9
CT_UNMAPPED::treatment resistant depression,CT_UNMAPPED::unipolar depression,9
CT_UNMAPPED::aging,CT_UNMAPPED::arterial hypertension,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::drug drug interaction,9
CT_UNMAPPED::endometrial cancer,CT_UNMAPPED::hiv,9
CT_UNMAPPED::hiv,CT_UNMAPPED::type 1 diabetes,9
CT_UNMAPPED::bladder cancer,CT_UNMAPPED::colorectal cancer,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::pregnancy related,9
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::metastatic colorectal cancer,9
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::prostate cancer,9
CT_UNMAPPED::colorectal cancer,CT_UNMAPPED::unspecified adult solid tumor protocol specific,9
CT_UNMAPPED::covid19,CT_UNMAPPED::hemodialysis,9
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::diabetes,9
CT_UNMAPPED::acute myocardial infarction,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::cancer,CT_UNMAPPED::congenital heart disease,9
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::congenital heart disease,9
CT_UNMAPPED::cirrhosis,CT_UNMAPPED::congenital heart disease,9
CT_UNMAPPED::covid19,CT_UNMAPPED::stemi,9
CT_UNMAPPED::mild cognitive impairment,CT_UNMAPPED::sickle cell disease,9
CT_UNMAPPED::adhd,CT_UNMAPPED::depression,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::alzheimer s disease,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::generalized anxiety disorder,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::magnetic resonance imaging,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::alcohol dependence,CT_UNMAPPED::schizoaffective disorder,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::autism,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::bipolar depression,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::cocaine dependence,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::cognition,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::magnetic resonance imaging,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::major depression,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::treatment resistant depression,9
CT_UNMAPPED::autism,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::mild cognitive impairment,9
CT_UNMAPPED::bipolar depression,CT_UNMAPPED::pregnancy,9
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::pregnancy,9
CT_UNMAPPED::chronic low back pain,CT_UNMAPPED::psychosomatic disorders,9
CT_UNMAPPED::cocaine dependence,CT_UNMAPPED::mild cognitive impairment,9
CT_UNMAPPED::depression,CT_UNMAPPED::psychosis,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::magnetic resonance imaging,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::major depression,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::major depressive disorder mdd,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::mild cognitive impairment,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::pregnancy,9
CT_UNMAPPED::generalized anxiety disorder,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::mild cognitive impairment,9
CT_UNMAPPED::magnetic resonance imaging,CT_UNMAPPED::ptsd,9
CT_UNMAPPED::psychosis,CT_UNMAPPED::schizoaffective disorder,9
CT_UNMAPPED::ptsd,CT_UNMAPPED::treatment resistant depression,9
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::coronary heart disease,9
CT_UNMAPPED::acute ischemic stroke,CT_UNMAPPED::percutaneous coronary intervention,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::cerebrovascular accident,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::diabetes mellitus type ii,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::hemodialysis,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::hiv 1 infection,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::impaired glucose tolerance,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::peripheral artery disease,9
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::diabetes mellitus type ii,9
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::drug drug interaction,9
CT_UNMAPPED::chronic kidney diseases,CT_UNMAPPED::impaired glucose tolerance,9
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::hiv 1 infection,9
CT_UNMAPPED::coronary heart disease,CT_UNMAPPED::percutaneous coronary intervention,9
CT_UNMAPPED::covid,CT_UNMAPPED::end stage renal disease,9
CT_UNMAPPED::covid,CT_UNMAPPED::preeclampsia,9
CT_UNMAPPED::diabetes mellitus type ii,CT_UNMAPPED::impaired glucose tolerance,9
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::hemodialysis,9
CT_UNMAPPED::end stage renal disease,CT_UNMAPPED::preeclampsia,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::heart failure with preserved ejection fraction,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::heart disease,9
CT_UNMAPPED::diabetes,CT_UNMAPPED::pregnancy related,9
CT_UNMAPPED::aging,CT_UNMAPPED::coronary heart disease,9
CT_UNMAPPED::aging,CT_UNMAPPED::ovarian cancer,9
CT_UNMAPPED::alzheimer s disease,CT_UNMAPPED::chronic kidney disease,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::endothelial dysfunction,9
CT_UNMAPPED::breast cancer,CT_UNMAPPED::intracerebral hemorrhage,9
CT_UNMAPPED::cancer,CT_UNMAPPED::drug interaction,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::drug interaction,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::menopause,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::oxidative stress,9
CT_UNMAPPED::cardiovascular disease,CT_UNMAPPED::type ii diabetes mellitus,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::endothelial dysfunction,9
CT_UNMAPPED::chronic kidney disease,CT_UNMAPPED::percutaneous coronary intervention,9
CT_UNMAPPED::cognitive impairment,CT_UNMAPPED::covid19,9
