drug_key,example_ct_drug,example_pubtator_drug,n_ct_diseases,n_pubtator_diseases,n_shared_diseases,n_union_diseases,jaccard_disease_alignment
ibuprofen,Ibuprofen,Ibuprofen,204,1068,0,1272,0.0
insulin aspart,Insulin Aspart,Insulin Aspart,57,41,0,98,0.0
insulin glargine,Insulin Glargine,Insulin Glargine,57,98,0,155,0.0
insulin lispro,Insulin Lispro,Insulin Lispro,56,49,0,105,0.0
irbesartan,Irbesartan,Irbesartan,61,302,0,363,0.0
isosorbide,Isosorbide,Isosorbide,74,406,0,480,0.0
ketoconazole,Ketoconazole,Ketoconazole,99,796,0,895,0.0
lamotrigine,Lamotrigine,Lamotrigine,91,531,0,622,0.0
latanoprost,Latanoprost,,51,0,0,51,0.0
levetiracetam,Levetiracetam,Levetiracetam,206,686,0,892,0.0
levocetirizine,,Levocetirizine,0,91,0,91,0.0
levonorgestrel,,Levonorgestrel,0,269,0,269,0.0
levothyroxine,Levothyroxine,Levothyroxine,197,1216,0,1413,0.0
lisdexamfetamine,Lisdexamfetamine,Lisdexamfetamine,43,91,0,134,0.0
lisinopril,Lisinopril,Lisinopril,86,394,0,480,0.0
loratadine,Loratadine,Loratadine,42,199,0,241,0.0
lorazepam,Lorazepam,Lorazepam,154,407,0,561,0.0
losartan,Losartan,Losartan,198,845,0,1043,0.0
lovastatin,Lovastatin,Lovastatin,155,503,0,658,0.0
meclizine,Meclizine,Meclizine,7,99,0,106,0.0
meloxicam,Meloxicam,Meloxicam,75,480,0,555,0.0
memantine,Memantine,Memantine,162,565,0,727,0.0
metformin,Metformin,Metformin,156,1490,0,1646,0.0
methocarbamol,Methocarbamol,Methocarbamol,38,75,0,113,0.0
methotrexate,Methotrexate,Methotrexate,367,2121,0,2488,0.0
methylphenidate,Methylphenidate,Methylphenidate,168,514,0,682,0.0
methylprednisolone,Methylprednisolone,Methylprednisolone,289,2388,0,2677,0.0
metoprolol,Metoprolol,Metoprolol,181,577,0,758,0.0
mirtazapine,Mirtazapine,Mirtazapine,86,427,0,513,0.0
montelukast,Montelukast,Montelukast,105,570,0,675,0.0
naproxen,Naproxen,Naproxen,152,583,0,735,0.0
nifedipine,Nifedipine,Nifedipine,165,1029,0,1194,0.0
nitrofurantoin,Nitrofurantoin,Nitrofurantoin,78,221,0,299,0.0
norethindrone,Norethindrone,Norethindrone,77,228,0,305,0.0
norgestimate,,Norgestimate,0,47,0,47,0.0
olmesartan,Olmesartan,Olmesartan,49,298,0,347,0.0
omeprazole,Omeprazole,Omeprazole,140,588,0,728,0.0
ondansetron,Ondansetron,Ondansetron,252,520,0,772,0.0
oxybutynin,Oxybutynin,Oxybutynin,68,177,0,245,0.0
oxycodone,Oxycodone,Oxycodone,214,348,0,562,0.0
pantoprazole,Pantoprazole,Pantoprazole,144,312,0,456,0.0
paroxetine,Paroxetine,Paroxetine,108,454,0,562,0.0
pioglitazone,Pioglitazone,Pioglitazone,140,795,0,935,0.0
potassium chloride,Potassium Chloride,Potassium Chloride,217,568,0,785,0.0
pravastatin,Pravastatin,Pravastatin,128,461,0,589,0.0
prednisone,Prednisone,Prednisone,251,2686,0,2937,0.0
pregabalin,Pregabalin,Pregabalin,203,603,0,806,0.0
progesterone,Progesterone,Progesterone,244,1036,0,1280,0.0
propranolol,Propranolol,Propranolol,285,1548,0,1833,0.0
quetiapine,Quetiapine,Quetiapine,112,460,0,572,0.0
rivaroxaban,Rivaroxaban,Rivaroxaban,197,642,0,839,0.0
rosuvastatin,Rosuvastatin,Rosuvastatin,185,495,0,680,0.0
semaglutide,Semaglutide,,177,0,0,177,0.0
sertraline,Sertraline,Sertraline,150,526,0,676,0.0
sildenafil,,Sildenafil,0,849,0,849,0.0
simvastatin,Simvastatin,Simvastatin,166,1067,0,1233,0.0
sitagliptin,Sitagliptin,Sitagliptin,90,373,0,463,0.0
