drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT05796973,Measuring Oncological Value of Exercise and Statin,RECRUITING,PHASE3,Prostate Cancer; Breast Cancer; Kidney Cancer; Ovarian Cancer; Metastatic Breast Cancer; Metastatic Kidney Cancer; Metastatic Renal Cell Carcinoma; Metastatic Renal Cancer; Metastatic Prostate Cancer; Metastatic Prostate Adenocarcinoma; Metastatic Ovarian Cancer; Metastatic Ovary Cancer,2023-02-13
Atorvastatin,NCT01013103,Pleiotropic Effects of Atorvastatin in High Cardiovascular Risk Patients,COMPLETED,PHASE4,Coronary Artery Disease; HMG-CoA Reductase Inhibitor Toxicity; Atherosclerosis; Oxidative Stress; Endothelial Dysfunction,2009-11-10
Atorvastatin,NCT03370705,Endothelial Function Evaluation in Patients With PAOD Treated With Sulodexide + Conventional Treatment (CT) Vs CT Alone,UNKNOWN,PHASE3,Peripheral Arterial Obstructive Disease,2017-11-24
Atorvastatin,NCT06382974,Evaluation of the Osteoinductivity of Atorvastatin Combined With β-TCP,NOT_YET_RECRUITING,,Infection; Bone Loss,2024-04-22
Atorvastatin,NCT04333407,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,TERMINATED,,COVID-19,2020-04-01
Atorvastatin,NCT00163163,Carotid Atorvastatin Study in Hyperlipidemic Post-Menopausal Women,COMPLETED,PHASE3,Hypercholesterolaemia,2005-09-09
Atorvastatin,NCT01442428,Paradoxical Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) Treatment Trial,WITHDRAWN,PHASE2; PHASE3,Immune Reconstitution Inflammatory Syndrome; Immune Reconstitution Syndrome; Tuberculosis; HIV-infection/Aids,2011-08-30
Atorvastatin,NCT01105975,A Study of LY2484595 in Patients With High LDL-C or Low HDL-C,COMPLETED,PHASE2,Dyslipidemia,2010-04-15
Atorvastatin,NCT01187992,Full-dose Atorvastatin After Acute Coronary Syndrome (ACS) in Non-revascularisable Coronary Artery Disease,TERMINATED,PHASE3,Acute Coronary Syndrome; Coronary Artery Disease,2010-08-24
Atorvastatin,NCT00380939,This Study Uses Ultrasound to Determine Whether Atorvastatin or Pravastatin Effects the Progression of Coronary Plaque.,COMPLETED,PHASE4,Coronary Arteriosclerosis,2006-09-26
Atorvastatin,NCT01974544,Prevention and Treatment Of Diabetes Complications With Gastric Surgery or Intensive Medicines,UNKNOWN,,Type 2 Diabetes,2013-05-25
Atorvastatin,NCT02913664,Risk Reduction for Alzheimer's Disease,COMPLETED,PHASE2; PHASE3,Cognitively Normal Older Adults; Hypertension; Subjective Cognitive Decline; Family History of Alzheimer's Disease,2016-09-14
