row_index,nct_id,drug,removed_term,original_disease_field
8958,NCT02028767,Empagliflozin,Healthy,Healthy
8990,NCT02172196,Empagliflozin,Healthy,Healthy
8994,NCT02276365,Empagliflozin,Healthy,Healthy
9012,NCT06339788,Empagliflozin,Healthy Volunteers,Healthy Volunteers
9023,NCT02172222,Empagliflozin,Healthy,Healthy
9037,NCT02172235,Empagliflozin,Healthy,Healthy
9039,NCT05132023,Empagliflozin,Healthy,Healthy
9046,NCT01189201,Empagliflozin,Healthy,Healthy
9053,NCT01328184,Empagliflozin,Healthy,Healthy
9061,NCT07102719,Empagliflozin,Healthy Volunteers,Healthy Volunteers
9074,NCT02102932,Empagliflozin,Healthy,Healthy
9088,NCT00834795,Carvedilol,Healthy,Healthy
9105,NCT00775619,Carvedilol,Healthy,Healthy
9109,NCT00834873,Carvedilol,Healthy,Healthy
9123,NCT00650416,Carvedilol,Healthy,Healthy
9149,NCT01064154,Carvedilol,Healthy,Healthy
9188,NCT00648622,Carvedilol,Healthy,Healthy
9267,NCT00864149,Carvedilol,Healthy,Healthy
9285,NCT00776113,Carvedilol,Healthy,Healthy
9319,NCT01064180,Carvedilol,Healthy,Healthy
9328,NCT00864435,Carvedilol,Healthy,Healthy
9332,NCT02286934,Carvedilol,Healthy,Healthy
9355,NCT05822492,Tramadol,Anesthesia,Anesthesia; Analgesia; Patient Controlled Analgesia; Quadratus Lumborum Block; Erector Spina Plane Block
9376,NCT06653439,Tramadol,Anesthesia,Anesthesia; Regional Anesthesia; Post Operative Pain
9379,NCT03781544,Tramadol,Healthy,Osteoarthritis of Multiple Joints of Ankle or Foot; Healthy
9380,NCT01443520,Tramadol,Healthy,Healthy
9382,NCT02277080,Tramadol,Quality of Life,Pain; Opioids; Immune System; Endocrine System; Quality of Life
9395,NCT05533073,Tramadol,Healthy,Healthy
9402,NCT01214941,Tramadol,Pharmacokinetics,Pharmacokinetics; Pharmacodynamics
9413,NCT04894864,Tramadol,Anesthesia,Elective Surgical Procedures; Postoperative Pain; Anesthesia; Opioid Use; Abdominal Aortic Aneurysm Without Rupture; Vascular Surgical Procedure; Interleukin 6; Immunomodulators
9415,NCT04521556,Tramadol,Anesthesia,Anesthesia; Anesthesia Recovery Period; Nephrectomy; Patient Satisfaction; Postoperative Period; Quality of Life; Analgesia; Epidural
9415,NCT04521556,Tramadol,Quality of Life,Anesthesia; Anesthesia Recovery Period; Nephrectomy; Patient Satisfaction; Postoperative Period; Quality of Life; Analgesia; Epidural
9420,NCT01304069,Tramadol,Healthy,Healthy
9429,NCT04587505,Tramadol,Anesthesia,Anesthesia; Anesthesia Recovery Period; Radical Prostatectomy; Patient Satisfaction; Postoperative Period; Quality of Life; Analgesia; Epidural; Quality of Recovery
9429,NCT04587505,Tramadol,Quality of Life,Anesthesia; Anesthesia Recovery Period; Radical Prostatectomy; Patient Satisfaction; Postoperative Period; Quality of Life; Analgesia; Epidural; Quality of Recovery
9430,NCT03054220,Tramadol,Healthy,Healthy
9451,NCT00834912,Tramadol,Healthy,Healthy
9459,NCT00834808,Tramadol,Healthy,Healthy
9460,NCT07032558,Tramadol,Healthy Volunteer,Healthy Volunteer
9479,NCT05822479,Tramadol,Anesthesia,Anesthesia; Regional Anesthesia; Morbid Obesity; Postoperative Pain
9503,NCT00834366,Tramadol,Healthy,Healthy
9515,NCT02465866,Tramadol,Healthy,Healthy
9522,NCT06449599,Tramadol,Anesthesia,"Anesthesia; Postoperative Pain; Arrhythmias, Cardiac"
9532,NCT00834288,Tramadol,Healthy Subjects,Healthy Subjects; Pharmacokinetics; Bioavailability
9532,NCT00834288,Tramadol,Pharmacokinetics,Healthy Subjects; Pharmacokinetics; Bioavailability
9551,NCT04294394,Tramadol,Anesthesia,Anesthesia
9586,NCT01947920,Tramadol,Healthy,Healthy
9597,NCT05939635,Tramadol,Anesthesia,Anesthesia; Regional Anesthesia; Postoperative Pain
9621,NCT02307864,Tramadol,Healthy,Healthy
9645,NCT03509285,Alprazolam,Healthy Volunteer,Healthy Volunteer
9651,NCT05626439,Alprazolam,Healthy Participants,Healthy Participants
9655,NCT00810316,Alprazolam,Pharmacokinetics,Pharmacokinetics
9660,NCT00860119,Alprazolam,Healthy,Healthy
9661,NCT01322867,Alprazolam,Healthy,Healthy
9663,NCT01188031,Alprazolam,Healthy,Healthy
9667,NCT00877955,Alprazolam,Healthy,Healthy
9670,NCT03516305,Alprazolam,Healthy,Healthy
9675,NCT01161472,Alprazolam,Healthy,Healthy
9676,NCT01046162,Alprazolam,Healthy,Healthy
9679,NCT00647634,Alprazolam,Healthy,Healthy
9682,NCT00647894,Alprazolam,Healthy,Healthy
9684,NCT01285505,Alprazolam,Healthy,Healthy
9688,NCT00878514,Alprazolam,Healthy,Healthy
9691,NCT05602818,Alprazolam,Healthy Volunteers,Healthy Volunteers
9694,NCT01188057,Alprazolam,Healthy,Healthy
9695,NCT02570581,Alprazolam,Healthy,Healthy
9696,NCT01330472,Alprazolam,Healthy Subjects,Healthy Subjects
9697,NCT00444522,Alprazolam,Healthy,Healthy
9698,NCT00865761,Alprazolam,Healthy,Healthy
9699,NCT00829426,Alprazolam,Healthy,Healthy
9703,NCT07020988,Alprazolam,Healthy Participants,Healthy Participants
9713,NCT00878865,Alprazolam,Healthy,Healthy
9722,NCT00580190,Alprazolam,Healthy,Healthy
9728,NCT01027689,Alprazolam,Healthy,Healthy
9734,NCT02033707,Alprazolam,Healthy,Healthy
9735,NCT00865657,Alprazolam,Healthy,Healthy
9744,NCT00830024,Alprazolam,Healthy,Healthy
9745,NCT01898897,Alprazolam,Anesthesia,Anesthesia; Reaction; Adverse Effect of Other General Anesthetics; Adverse Anesthesia Outcome; Acute Kidney Injury
9747,NCT00650299,Alprazolam,Healthy,Healthy
9838,NCT02268149,Prednisone,Healthy,Healthy
9912,NCT05003713,Prednisone,Healthy,Healthy
10054,NCT01064102,Hydroxyzine,Healthy,Healthy
10055,NCT00776139,Hydroxyzine,Healthy,Healthy
10063,NCT00776022,Hydroxyzine,Healthy,Healthy
10074,NCT00650065,Hydroxyzine,Healthy,Healthy
10083,NCT00863902,Hydroxyzine,Healthy,Healthy
10101,NCT06080100,Hydroxyzine,Anesthesia,Psychological Stress; Anesthesia; Anxiety; Xenon
10107,NCT04188106,Hydroxyzine,Smoking Cessation,Smoking Cessation; Stress; Sleep Disturbance; Nausea
10108,NCT01496911,Hydroxyzine,Healthy Volunteers,Healthy Volunteers
10114,NCT01064115,Hydroxyzine,Healthy,Healthy
10115,NCT00864279,Hydroxyzine,Healthy,Healthy
10118,NCT00649857,Hydroxyzine,Healthy,Healthy
10134,NCT06535087,Hydroxyzine,Quality of Life,"Pediatric Asthma; Rhinitis, Allergic; Quality of Life"
10154,NCT00162786,Hydroxyzine,Healthy,Healthy
10160,NCT02535416,Hydroxyzine,Healthy,Healthy
10167,NCT02756624,Hydroxyzine,Healthy Subjects,Healthy Subjects
10193,NCT01699828,Buspirone,Smoking Cessation,Smoking Cessation; Tobacco Use Cessation
10212,NCT00840606,Buspirone,Healthy,Healthy
10225,NCT00840398,Buspirone,Healthy,Healthy
10271,NCT01129414,Clopidogrel,Healthy,Healthy
10305,NCT04642209,Clopidogrel,Anesthesia,"Hip Fractures; Clopidogrel, Poor Metabolism of; Anesthesia"
10306,NCT05934799,Clopidogrel,Bioequivalence,Bioequivalence
10329,NCT02222987,Clopidogrel,Healthy,Healthy
10341,NCT01108588,Clopidogrel,Healthy Volunteers,Healthy Volunteers
10355,NCT01469416,Clopidogrel,Healthy,Healthy
10378,NCT00650169,Clopidogrel,Healthy,Healthy
10381,NCT03430661,Clopidogrel,Healthy,Healthy
10458,NCT01129271,Clopidogrel,Healthy,Healthy
10459,NCT04822363,Clopidogrel,Healthy,Platelet Activation Testing Before/after Anti-platelet Therapy; Healthy
10489,NCT01409616,Clopidogrel,Healthy Subjects,Pharmacodynamic Interaction; Healthy Subjects
10519,NCT01129388,Clopidogrel,Healthy,Healthy
10560,NCT00648505,Glipizide,Healthy,Healthy
10563,NCT00835497,Glipizide,Healthy,Healthy
10575,NCT00806013,Glipizide,Healthy,Healthy
10581,NCT00649454,Glipizide,Healthy,Healthy
10586,NCT00834587,Glipizide,Healthy,Healthy
10618,NCT03907215,Citalopram,Healthy,Healthy
10620,NCT01951053,Citalopram,Healthy,Healthy
10632,NCT01149967,Citalopram,Healthy,Healthy
10641,NCT00386841,Citalopram,Healthy,Healthy
10657,NCT04806230,Citalopram,Pharmacokinetics,Pharmacokinetics; Antidepressive Agents; Pregnancy
10678,NCT02122939,Citalopram,Healthy,Healthy
10680,NCT00648661,Citalopram,Healthy,Healthy
10731,NCT00940238,Citalopram,Healthy,Healthy
10735,NCT01638689,Citalopram,Healthy,Healthy
10781,NCT01871701,Citalopram,Healthy,Healthy
10793,NCT00939835,Citalopram,Healthy,Healthy
10801,NCT00550485,Citalopram,Pharmacokinetics,Pharmacokinetics
10831,NCT01916824,Citalopram,Healthy Controls,Major Depressive Disorder; Healthy Controls
10836,NCT01395433,Citalopram,Healthy,Healthy
10864,NCT00865085,Citalopram,Healthy,Healthy
10907,NCT01218711,Potassium Chloride,Healthy,Healthy
10961,NCT03105375,Potassium Chloride,Healthy Volunteers,Healthy Volunteers
10966,NCT06578832,Potassium Chloride,Quality of Life,"Chronic Kidney Diseases; Caries,Dental; Quality of Life; Saliva Altered; Periodontitis"
10977,NCT00835705,Potassium Chloride,Healthy,Healthy
10982,NCT06944223,Potassium Chloride,Healthy,Kidney Stone; Healthy
11004,NCT00564772,Potassium Chloride,Healthy,Healthy
11006,NCT01064739,Potassium Chloride,Healthy Participants,Healthy Participants
11029,NCT05323084,Potassium Chloride,Quality of Life,Quality of Life
11032,NCT00778284,Potassium Chloride,Healthy,Healthy
11082,NCT04322266,Potassium Chloride,Healthy,Healthy
11090,NCT00927017,Potassium Chloride,Healthy,Healthy
11110,NCT00809718,Potassium Chloride,Healthy,Healthy
11111,NCT06467825,Potassium Chloride,Healthy,Healthy
11126,NCT06401278,Potassium Chloride,Quality of Life,Hypertension; Quality of Life
11138,NCT01149473,Potassium Chloride,Healthy,Healthy
11155,NCT00802074,Potassium Chloride,Healthy,Healthy
11181,NCT06277609,Potassium Chloride,Healthy Participants,Healthy Participants
11241,NCT02581553,Allopurinol,Healthy,Healthy
11313,NCT05360628,Allopurinol,Healthy,Healthy
11317,NCT04347005,Allopurinol,Healthy Volunteers,Healthy Volunteers
11378,NCT02398448,Allopurinol,Healthy,Healthy
11407,NCT02888054,Allopurinol,Healthy,Healthy
11498,NCT02268773,Aspirin,Healthy,Healthy
11523,NCT05625334,Aspirin,Healthy Volunteers,Healthy Volunteers
11554,NCT03590821,Aspirin,Healthy,Healthy
11568,NCT00441519,Aspirin,Healthy,Healthy
11577,NCT04146532,Aspirin,Healthy Adults,Healthy Adults
11578,NCT02187562,Aspirin,Healthy,Healthy
11606,NCT01108588,Aspirin,Healthy Volunteers,Healthy Volunteers
11646,NCT06893978,Aspirin,Healthy,Preeclampsia; Pregnancy Loss; Preterm Birth; Healthy
11659,NCT01081353,Aspirin,Pharmacokinetics,Pharmacokinetics
11682,NCT02273479,Aspirin,Healthy,Healthy
11703,NCT05166096,Aspirin,Healthy,Healthy
11712,NCT01199328,Aspirin,Healthy Volunteers,Healthy Volunteers
11718,NCT04407377,Cyclobenzaprine,Healthy,Healthy
11721,NCT01634412,Cyclobenzaprine,Healthy Adults,Healthy Adults
11735,NCT01889173,Cyclobenzaprine,Healthy Adults,Healthy Adults
11736,NCT03443960,Cyclobenzaprine,Healthy Subjects,Healthy Subjects
11738,NCT01689259,Cyclobenzaprine,Healthy Adults,Healthy Adults
11743,NCT03168022,Cyclobenzaprine,Healthy Adults,Healthy Adults
11748,NCT04164719,Cyclobenzaprine,Healthy Subjects,Healthy Subjects
11749,NCT01490788,Cyclobenzaprine,Healthy,Healthy
11762,NCT00778037,Cyclobenzaprine,Healthy,Healthy
11841,NCT01139840,Ergocalciferol,Healthy,Healthy
11855,NCT02720575,Ergocalciferol,Healthy,Healthy
11869,NCT05673980,Ergocalciferol,Healthy Volunteers,Healthy Volunteers
11890,NCT01190137,Ergocalciferol,Healthy,Healthy
11897,NCT01180946,Ergocalciferol,Healthy,Healthy; Vitamin D Deficiency
11902,NCT00742235,Ergocalciferol,Healthy Subjects,Healthy Subjects; Vitamin D Deficiency
11949,NCT02211625,Oxycodone,Healthy,Healthy
11955,NCT01456520,Oxycodone,Healthy,Healthy
11959,NCT03145272,Oxycodone,Pharmacokinetics,Pharmacokinetics; Pharmacogenomics; Oxycodone
11960,NCT01782612,Oxycodone,Anesthesia,Anesthesia; Hip Osteoarthritis
11963,NCT02277080,Oxycodone,Quality of Life,Pain; Opioids; Immune System; Endocrine System; Quality of Life
12011,NCT03364088,Oxycodone,Anesthesia,Knee Osteoarthritis; Arthropathy of Knee Joint; Knee Pain Chronic; Rheumatoid Arthritis; Anesthesia
12029,NCT01568450,Oxycodone,Healthy,Healthy
12033,NCT01924676,Oxycodone,Healthy,Healthy
12037,NCT00853736,Oxycodone,Healthy,Healthy
12048,NCT04223609,Oxycodone,Healthy,Healthy
12054,NCT01393652,Oxycodone,Healthy Volunteers,Healthy Volunteers
12059,NCT06665048,Oxycodone,Anesthesia,"Anesthesia; Oxycodone; Analgesia, Postoperative"
12060,NCT00853216,Oxycodone,Healthy,Healthy
12080,NCT03747341,Oxycodone,Healthy,Healthy; Opioid Use
12084,NCT01101165,Oxycodone,Healthy,Healthy
12094,NCT01717027,Oxycodone,Healthy,Healthy
12112,NCT00955110,Oxycodone,Healthy,Healthy
12144,NCT03427736,Oxycodone,Anesthesia,Anesthesia; Pain
12184,NCT01127906,Oxycodone,Healthy,Healthy
12209,NCT02089295,Oxycodone,Healthy,Healthy
12216,NCT07223450,Oxycodone,Healthy Volunteers,Physiologically Based Pharmacokinetic; Healthy Volunteers
12235,NCT00031798,Methylphenidate,Quality of Life,Brain and Central Nervous System Tumors; Cognitive/Functional Effects; Depression; Fatigue; Quality of Life
12265,NCT01852344,Methylphenidate,Healthy,Healthy
12272,NCT02453698,Methylphenidate,Healthy Volunteers,Healthy Volunteers
12278,NCT01465685,Methylphenidate,Healthy,Healthy
12316,NCT04384562,Methylphenidate,Healthy,Decision Making; Healthy
12366,NCT01118702,Methylphenidate,Pharmacokinetics,Pharmacokinetics
12381,NCT00301639,Methylphenidate,Healthy Volunteers,Healthy Volunteers
12387,NCT00829673,Methylphenidate,Healthy,Healthy
12392,NCT01993147,Methylphenidate,Healthy,Healthy
12417,NCT01993108,Methylphenidate,Healthy,Healthy; Attention Deficit Hyperactivity Disorder
12419,NCT00829712,Methylphenidate,Healthy,Healthy
12433,NCT00302367,Methylphenidate,Healthy Volunteers,Healthy Volunteers
12434,NCT01202734,Methylphenidate,Healthy,Healthy
12447,NCT00815841,Methylphenidate,Healthy,Healthy
12454,NCT03610282,Methylphenidate,Anesthesia,Anesthesia
12470,NCT03280251,Methylphenidate,Healthy Volunteers,Healthy Volunteers
12525,NCT01418625,Venlafaxine,Healthy,Healthy
12534,NCT01443520,Venlafaxine,Healthy,Healthy
12539,NCT02637193,Venlafaxine,Healthy Subjects,Healthy Subjects
12543,NCT04806230,Venlafaxine,Pharmacokinetics,Pharmacokinetics; Antidepressive Agents; Pregnancy
12560,NCT00329186,Venlafaxine,Healthy,Healthy
12571,NCT01235338,Venlafaxine,Healthy,Healthy
12573,NCT00834249,Venlafaxine,Healthy,Healthy
12585,NCT01418612,Venlafaxine,Healthy,Healthy
12592,NCT00834964,Venlafaxine,Healthy,Healthy
12595,NCT01260896,Venlafaxine,Healthy,Healthy
12608,NCT01916824,Venlafaxine,Healthy Controls,Major Depressive Disorder; Healthy Controls
12652,NCT01282801,Venlafaxine,Healthy,Healthy
12669,NCT02655354,Venlafaxine,Quality of Life,Posttraumatic Stress Disorder; Depression; Alcohol-Related Disorders; Suicidal Ideation; Substance-Related Disorders; Mild Cognitive Impairment; Quality of Life; Pain; Wounds and Injury; Brain Injuries; Chronic Disease
12673,NCT00871364,Venlafaxine,Healthy,Healthy
12689,NCT00676039,Venlafaxine,Healthy,Healthy
12691,NCT01512459,Venlafaxine,Healthy,Healthy
12707,NCT00001478,Venlafaxine,Healthy,Healthy; Mood Disorders
12708,NCT01282814,Venlafaxine,Healthy,Healthy
12718,NCT00362271,Venlafaxine,Healthy,Healthy
12746,NCT00727064,Venlafaxine,Healthy,Healthy
12903,NCT01083290,Spironolactone,Healthy,Healthy
12913,NCT06205407,Spironolactone,Healthy Participants,Healthy Participants
12925,NCT01314898,Spironolactone,Healthy Volunteers,Healthy Volunteers
12962,NCT03429946,Spironolactone,Healthy,Hypoglycemia; Healthy
13004,NCT01821703,Spironolactone,Healthy Volunteers,Healthy Volunteers
13016,NCT01431326,Spironolactone,Anesthesia,Adenovirus; Anesthesia; Anxiety; Anxiolysis; Autism; Autistic Disorder; Bacterial Meningitis; Bacterial Septicemia; Benzodiazepine; Bipolar Disorder; Bone and Joint Infections; Central Nervous System Infections; Convulsions; Cytomegalovirus Retinitis; Early-onset Schizophrenia Spectrum Disorders; Epilepsy; General Anesthesia; Gynecologic Infections; Herpes Simplex Virus; Infantile Hemangioma; Infection; Inflammation; Inflammatory Conditions; Intra-abdominal Infections; Lower Respiratory Tract Infections; Migraines; Pain; Pneumonia; Schizophrenia; Sedation; Seizures; Skeletal Muscle Spasms; Skin and Skin-structure Infections; Treatment-resistant Schizophrenia; Urinary Tract Infections; Withdrawal; Sepsis; Gram-negative Infection; Bradycardia; Cardiac Arrest; Cardiac Arrhythmia; Staphylococcal Infections; Nosocomial Pneumonia; Neuromuscular Blockade; Methicillin Resistant Staphylococcus Aureus; Endocarditis; Neutropenia; Headache; Fibrinolytic Bleeding; Pulmonary Arterial Hypertension; CMV Retinitis; Hypertension; Chronic Kidney Diseases; Hyperaldosteronism; Hypokalemia; Heart Failure; Hemophilia; Heavy Menstrual Bleeding; Insomnia
13101,NCT05822492,Ondansetron,Anesthesia,Anesthesia; Analgesia; Patient Controlled Analgesia; Quadratus Lumborum Block; Erector Spina Plane Block
13122,NCT01220167,Ondansetron,Healthy Participants,Healthy Participants
13127,NCT06653439,Ondansetron,Anesthesia,Anesthesia; Regional Anesthesia; Post Operative Pain
13130,NCT03117894,Ondansetron,Anesthesia,Breast Neoplasm Female; Regional Anesthesia; Anesthesia; Regional Anesthesia Morbidity; Anesthesia Morbidity
13134,NCT02652312,Ondansetron,Anesthesia,Anesthesia
13142,NCT00649532,Ondansetron,Healthy,Healthy
13159,NCT00648804,Ondansetron,Healthy,Healthy
13160,NCT04894864,Ondansetron,Anesthesia,Elective Surgical Procedures; Postoperative Pain; Anesthesia; Opioid Use; Abdominal Aortic Aneurysm Without Rupture; Vascular Surgical Procedure; Interleukin 6; Immunomodulators
13168,NCT04144933,Ondansetron,Anesthesia,"Anesthesia; General Anesthesia; Analgesics, Opioid; Opioid Free Anesthesia; Postoperative Ileus; Colorectal Surgery; Laparoscopic Surgery; Analgesia; Dexmedetomidine; Lidocaine; Ketamine"
13214,NCT01511705,Ondansetron,Healthy,Healthy
13237,NCT03747341,Ondansetron,Healthy,Healthy; Opioid Use
13271,NCT00934921,Ondansetron,Healthy,Healthy
13287,NCT00659685,Ondansetron,Healthy,Healthy
13302,NCT01523093,Ondansetron,Healthy,Healthy
13308,NCT02460341,Ondansetron,Healthy Adults,Brain Function; Healthy Adults
13351,NCT05939635,Ondansetron,Anesthesia,Anesthesia; Regional Anesthesia; Postoperative Pain
13391,NCT00781482,Zolpidem,Healthy,Healthy
13392,NCT01071889,Zolpidem,Healthy,Healthy
13394,NCT00658541,Zolpidem,Healthy,Healthy; Therapeutic Equivalency
13397,NCT00939536,Zolpidem,Healthy,Healthy
13405,NCT00779441,Zolpidem,Healthy,Healthy
13447,NCT00833521,Zolpidem,Healthy,Healthy
13451,NCT00684814,Zolpidem,Healthy,Healthy
13458,NCT00833937,Zolpidem,Healthy,Healthy
13459,NCT02817750,Zolpidem,Healthy,Healthy
13473,NCT02578472,Zolpidem,Healthy,Healthy
13476,NCT02607696,Zolpidem,Healthy Volunteers,Healthy Volunteers
13480,NCT06800378,Zolpidem,Healthy,Healthy
13486,NCT01431326,Zolpidem,Anesthesia,Adenovirus; Anesthesia; Anxiety; Anxiolysis; Autism; Autistic Disorder; Bacterial Meningitis; Bacterial Septicemia; Benzodiazepine; Bipolar Disorder; Bone and Joint Infections; Central Nervous System Infections; Convulsions; Cytomegalovirus Retinitis; Early-onset Schizophrenia Spectrum Disorders; Epilepsy; General Anesthesia; Gynecologic Infections; Herpes Simplex Virus; Infantile Hemangioma; Infection; Inflammation; Inflammatory Conditions; Intra-abdominal Infections; Lower Respiratory Tract Infections; Migraines; Pain; Pneumonia; Schizophrenia; Sedation; Seizures; Skeletal Muscle Spasms; Skin and Skin-structure Infections; Treatment-resistant Schizophrenia; Urinary Tract Infections; Withdrawal; Sepsis; Gram-negative Infection; Bradycardia; Cardiac Arrest; Cardiac Arrhythmia; Staphylococcal Infections; Nosocomial Pneumonia; Neuromuscular Blockade; Methicillin Resistant Staphylococcus Aureus; Endocarditis; Neutropenia; Headache; Fibrinolytic Bleeding; Pulmonary Arterial Hypertension; CMV Retinitis; Hypertension; Chronic Kidney Diseases; Hyperaldosteronism; Hypokalemia; Heart Failure; Hemophilia; Heavy Menstrual Bleeding; Insomnia
13490,NCT00939367,Zolpidem,Healthy,Healthy
13495,NCT01243060,Zolpidem,Healthy Volunteers,Healthy Volunteers
13502,NCT02814058,Zolpidem,Healthy,Healthy
13504,NCT02033707,Zolpidem,Healthy,Healthy
13505,NCT00779051,Zolpidem,Healthy,Healthy
13507,NCT02353299,Zolpidem,Healthy,Healthy
13514,NCT03008447,Zolpidem,Healthy Subjects,Healthy Subjects
13520,NCT00676026,Zolpidem,Healthy,Healthy
13533,NCT01064102,Cetirizine,Healthy,Healthy
13534,NCT00776139,Cetirizine,Healthy,Healthy
13545,NCT00776022,Cetirizine,Healthy,Healthy
13555,NCT00650065,Cetirizine,Healthy,Healthy
13566,NCT00863902,Cetirizine,Healthy,Healthy
13570,NCT02173249,Cetirizine,Healthy,Healthy
13596,NCT01064115,Cetirizine,Healthy,Healthy
13597,NCT00864279,Cetirizine,Healthy,Healthy
13602,NCT00649857,Cetirizine,Healthy,Healthy
13608,NCT01451996,Cetirizine,Healthy,Healthy
13614,NCT06535087,Cetirizine,Quality of Life,"Pediatric Asthma; Rhinitis, Allergic; Quality of Life"
13647,NCT02535416,Cetirizine,Healthy,Healthy
13654,NCT02756624,Cetirizine,Healthy Subjects,Healthy Subjects
13664,NCT04756037,Estradiol,Contraception,Contraception
13668,NCT04423068,Estradiol,Contraception,Pregnancy Related; Contraception; Contraceptive Usage; Contraception Behavior; Pregnancy
13669,NCT00196352,Estradiol,Contraception,Contraception
13688,NCT03249402,Estradiol,Healthy,Healthy
13699,NCT00624130,Estradiol,Contraception,Contraception
13707,NCT01746732,Estradiol,Healthy Volunteers,Healthy Volunteers
13710,NCT01257984,Estradiol,Contraception,Contraception
13738,NCT00367276,Estradiol,Healthy,Healthy
13739,NCT04714554,Estradiol,Healthy,Healthy
13756,NCT03359057,Estradiol,Contraception,Contraception
13757,NCT02577601,Estradiol,Contraception,Contraception
13759,NCT00711607,Estradiol,Healthy,Healthy
13791,NCT05985590,Estradiol,Healthy Volunteers,Healthy Volunteers
13798,NCT01297179,Estradiol,Healthy Volunteers,Healthy Volunteers; Pharmacokinetics of Mirabegron
13799,NCT01873170,Estradiol,Contraception,HIV; Immune Cells (Mucosal and Systemic); Contraception
13800,NCT01656434,Estradiol,Contraception,Contraception
13801,NCT04718636,Estradiol,Healthy Volunteers,Healthy Volunteers
13814,NCT00005108,Estradiol,Healthy,Atherosclerosis; Healthy; Vascular Disease
13822,NCT01254292,Estradiol,Contraception,Contraception
13826,NCT00163033,Estradiol,Healthy,Healthy
13828,NCT02720224,Estradiol,Contraception,Contraception; Menopause
13829,NCT01186796,Estradiol,Healthy,Healthy
13830,NCT00709982,Estradiol,Healthy,Drug Interactions; Healthy; Pharmacokinetics
13830,NCT00709982,Estradiol,Pharmacokinetics,Drug Interactions; Healthy; Pharmacokinetics
13837,NCT02531321,Estradiol,Contraception,Contraception; HIV
13840,NCT05116371,Estradiol,Contraception,Contraception
13843,NCT02550977,Estradiol,Contraception,Contraception
13845,NCT00789802,Estradiol,Contraception,Contraception; Bleeding
13851,NCT00910637,Estradiol,Contraception,Contraception
13854,NCT02969590,Estradiol,Contraception,Fertility; Contraception
13876,NCT00544882,Estradiol,Healthy,Healthy
13877,NCT02874248,Estradiol,Contraception,Contraception
13880,NCT06380205,Estradiol,Healthy Participants,Healthy Participants
13894,NCT00307632,Estradiol,Contraception,Contraception
13919,NCT01699022,Estradiol,Contraception,Contraception
13921,NCT00117273,Estradiol,Healthy,Healthy
13925,NCT03749733,Estradiol,Bioequivalence,Bioequivalence
13927,NCT04713904,Estradiol,Bioequivalence,Bioequivalence
13942,NCT01182207,Estradiol,Healthy,Healthy
13945,NCT04934696,Estradiol,Healthy Participants,Healthy Participants
13950,NCT02352090,Estradiol,Contraception,Contraception
13957,NCT01340625,Estradiol,Bioequivalence,Bioequivalence
13968,NCT00834379,Pravastatin,Healthy,Healthy
13997,NCT00830258,Pravastatin,Healthy,Healthy
14014,NCT01497483,Pravastatin,Healthy,Healthy
14050,NCT01146093,Pravastatin,Healthy,Healthy
14060,NCT01146106,Pravastatin,Healthy,Healthy
14066,NCT00834847,Pravastatin,Healthy,Healthy
14079,NCT01934569,Pravastatin,Healthy,Healthy
14100,NCT01958489,Pravastatin,Healthy Volunteers,Healthy Volunteers
14102,NCT02871687,Pravastatin,Healthy Subjects,Healthy Subjects
14106,NCT05852769,Pravastatin,Healthy Volunteers,Healthy Volunteers
14112,NCT04092751,Pravastatin,Pharmacokinetics,Pharmacokinetics
14129,NCT00829309,Pravastatin,Healthy,Healthy
14139,NCT02229773,Pravastatin,Healthy,Healthy
14148,NCT02266485,Pravastatin,Healthy,Healthy
14186,NCT00650208,Lamotrigine,Healthy,Healthy
14189,NCT01513720,Lamotrigine,Healthy,Healthy
14201,NCT04938856,Lamotrigine,Bioequivalence,Bioequivalence
14211,NCT01131949,Lamotrigine,Healthy,Healthy
14219,NCT00939458,Lamotrigine,Healthy,Healthy
14227,NCT06729970,Lamotrigine,Healthy Volunteers,Healthy Volunteers
14235,NCT00838279,Lamotrigine,Healthy,Healthy
14243,NCT04015687,Lamotrigine,Healthy Participants,Healthy Participants
14248,NCT00647751,Lamotrigine,Healthy,Healthy
14249,NCT00835263,Lamotrigine,Healthy,Healthy
14276,NCT01513681,Lamotrigine,Healthy,Healthy
14281,NCT04396938,Lamotrigine,Healthy,Healthy
14284,NCT01888263,Lamotrigine,Healthy,Healthy
14301,NCT05145608,Lamotrigine,Bioequivalence,Bioequivalence
14303,NCT01131975,Lamotrigine,Healthy,Healthy
14309,NCT01888731,Lamotrigine,Healthy,Healthy
14327,NCT02303106,Lamotrigine,Healthy,Healthy
14332,NCT00001478,Lamotrigine,Healthy,Healthy; Mood Disorders
14339,NCT03898011,Lamotrigine,Healthy Adults,Healthy Adults
14348,NCT00838136,Lamotrigine,Healthy,Healthy
14350,NCT01888757,Lamotrigine,Healthy,Healthy
14358,NCT01888250,Lamotrigine,Healthy,Healthy
14381,NCT00834561,Lamotrigine,Healthy,Healthy
14391,NCT00939614,Lamotrigine,Healthy,Healthy
14392,NCT04602221,Lamotrigine,Healthy,Healthy
14403,NCT02821338,Lamotrigine,Healthy,Healthy
14416,NCT01871987,Quetiapine,Healthy,Healthy; Plasma Concentration Change of Quetiapine
14440,NCT01908296,Quetiapine,Healthy,Healthy; Pharmacokinetics of Quetiapine
