file,los,diag,k,weight,metric,overlap,jaccard
/Users/adimukundan/Fall 2025/health data analytics/Project/bigquery_outputs/mimic_48_1_10.csv,48,1,20,unique_patients,diseases,20,1.0
/Users/adimukundan/Fall 2025/health data analytics/Project/bigquery_outputs/mimic_48_1_10.csv,48,1,20,unique_patients,drugs,20,1.0
