pmid,n_pairs,n_drugs,n_diseases,has_one_drug_multi_diseases,has_one_disease_multi_drugs
34258913,1,1,1,False,False
31830726,1,1,1,False,False
33178012,1,1,1,False,False
37047754,1,1,1,False,False
40116871,4,1,4,True,False
39457047,2,1,2,True,False
32386000,2,1,2,True,False
40504005,1,1,1,False,False
36996033,1,1,1,False,False
39276047,1,1,1,False,False
40730028,1,1,1,False,False
31843957,2,1,2,True,False
38437888,2,1,2,True,False
32091078,1,1,1,False,False
40237537,1,1,1,False,False
37662690,1,1,1,False,False
37772075,3,1,3,True,False
40444706,3,2,2,True,True
35702108,2,1,2,True,False
36218102,6,2,3,True,True
35628225,3,1,3,True,False
33485731,2,1,2,True,False
34486316,1,1,1,False,False
36423574,2,1,2,True,False
33628436,3,2,2,True,True
34747636,1,1,1,False,False
34910136,1,1,1,False,False
40696368,3,1,3,True,False
34433298,3,1,3,True,False
36312234,2,2,1,False,True
34328100,1,1,1,False,False
38629368,1,1,1,False,False
40323561,1,1,1,False,False
36928267,4,3,2,True,True
36791397,1,1,1,False,False
40370629,5,3,2,True,True
39240497,2,1,2,True,False
32923337,2,2,1,False,True
33903685,1,1,1,False,False
40813220,2,2,1,False,True
34352896,3,3,1,False,True
39291519,2,2,1,False,True
35569611,1,1,1,False,False
36697043,3,2,2,True,True
30190450,1,1,1,False,False
21731885,2,1,2,True,False
31870381,1,1,1,False,False
30697048,2,1,2,True,False
17910518,3,1,3,True,False
31829197,4,2,2,True,True
31572581,2,1,2,True,False
15957972,4,1,4,True,False
26063978,2,1,2,True,False
25279006,1,1,1,False,False
28498386,2,1,2,True,False
18458167,2,1,2,True,False
24578828,1,1,1,False,False
26098110,1,1,1,False,False
11474689,1,1,1,False,False
20538289,2,2,1,False,True
17407645,1,1,1,False,False
32722395,7,2,4,True,True
32609361,2,1,2,True,False
37186070,1,1,1,False,False
32985308,4,1,4,True,False
34335841,3,1,3,True,False
38063816,1,1,1,False,False
32571108,2,2,1,False,True
34128881,3,2,2,True,True
40702808,1,1,1,False,False
35261962,5,2,4,True,True
34540010,1,1,1,False,False
36622792,2,1,2,True,False
37377087,4,2,2,True,True
32156233,4,2,2,True,True
31556335,3,2,2,True,True
28613530,2,1,2,True,False
34937388,4,2,3,True,True
37230416,9,5,3,True,True
36757032,2,1,2,True,False
39259232,4,2,2,True,True
34760675,1,1,1,False,False
33039993,2,1,2,True,False
40056690,2,2,1,False,True
34511134,1,1,1,False,False
33080990,1,1,1,False,False
35600486,2,2,1,False,True
29507705,2,1,2,True,False
31495943,1,1,1,False,False
17315607,2,1,2,True,False
31061623,1,1,1,False,False
18358084,9,1,9,True,False
17335153,1,1,1,False,False
16003833,1,1,1,False,False
16003834,1,1,1,False,False
16000362,1,1,1,False,False
16003831,1,1,1,False,False
16003832,1,1,1,False,False
16134912,1,1,1,False,False
18473965,11,3,9,True,True
16181026,1,1,1,False,False
27828790,5,1,5,True,False
15213873,1,1,1,False,False
23285760,2,1,2,True,False
18686752,2,1,2,True,False
29322864,1,1,1,False,False
11693468,3,1,3,True,False
12364554,1,1,1,False,False
12201623,1,1,1,False,False
15755765,1,1,1,False,False
19404047,7,2,6,True,True
22085316,5,2,3,True,True
15171226,1,1,1,False,False
19531812,2,1,2,True,False
20946261,1,1,1,False,False
18037734,1,1,1,False,False
10893658,2,2,1,False,True
20837371,2,2,1,False,True
17452168,3,1,3,True,False
19232755,2,2,1,False,True
17384364,6,2,4,True,True
19452483,1,1,1,False,False
12564661,1,1,1,False,False
15675236,1,1,1,False,False
16820608,4,1,4,True,False
10843815,1,1,1,False,False
16495741,1,1,1,False,False
19216014,2,1,2,True,False
14748760,1,1,1,False,False
11428822,1,1,1,False,False
18949085,1,1,1,False,False
15943105,1,1,1,False,False
27120330,1,1,1,False,False
20185012,3,2,2,True,True
17910519,7,1,7,True,False
22882924,2,1,2,True,False
12356379,1,1,1,False,False
30402154,2,2,1,False,True
17713803,1,1,1,False,False
20394043,2,2,1,False,True
22783278,1,1,1,False,False
14666956,1,1,1,False,False
11122756,1,1,1,False,False
19026302,2,2,1,False,True
28670530,4,1,4,True,False
18523929,1,1,1,False,False
15220366,1,1,1,False,False
11897207,2,2,2,False,False
27764723,2,2,1,False,True
20151997,4,2,2,True,True
28750422,1,1,1,False,False
10897490,5,1,5,True,False
15372377,1,1,1,False,False
18356785,1,1,1,False,False
24214373,1,1,1,False,False
17606955,4,1,4,True,False
25736134,1,1,1,False,False
18070940,1,1,1,False,False
35155971,5,2,3,True,True
36349306,2,1,2,True,False
34506382,4,3,2,True,True
37522924,4,1,4,True,False
35966518,3,2,2,True,True
33019469,4,1,4,True,False
36923356,2,1,2,True,False
37933530,3,1,3,True,False
33242982,2,1,2,True,False
34586613,1,1,1,False,False
37251310,2,1,2,True,False
32546962,2,1,2,True,False
32821729,2,1,2,True,False
35399402,4,2,2,True,True
32703038,1,1,1,False,False
37019321,1,1,1,False,False
37708389,1,1,1,False,False
37759317,2,1,2,True,False
32862551,8,2,5,True,True
37584254,6,3,2,True,True
32681579,2,1,2,True,False
36780007,2,1,2,True,False
33543860,2,1,2,True,False
38069850,2,1,2,True,False
40964577,3,2,2,True,True
34237808,1,1,1,False,False
34821127,1,1,1,False,False
37189269,1,1,1,False,False
36825343,6,2,3,True,True
40350318,6,2,3,True,True
33283767,2,2,1,False,True
37705879,3,3,2,False,True
38075184,2,1,2,True,False
33793875,4,1,4,True,False
37057968,1,1,1,False,False
32313740,4,2,3,True,True
31237134,2,1,2,True,False
35106814,2,1,2,True,False
35415692,1,1,1,False,False
32358739,3,2,3,True,False
36909102,2,2,1,False,True
32084003,6,3,4,True,True
37780884,1,1,1,False,False
34161419,5,1,5,True,False
35427476,1,1,1,False,False
34674985,2,1,2,True,False
33454678,2,1,2,True,False
36100441,4,2,4,True,False
33721286,2,1,2,True,False
33477482,3,1,3,True,False
32160627,7,3,3,True,True
40656419,2,1,2,True,False
35787338,1,1,1,False,False
34461843,6,2,3,True,True
34466497,2,1,2,True,False
9627539,1,1,1,False,False
30595326,2,1,2,True,False
19475775,2,1,2,True,False
25491404,1,1,1,False,False
20142872,8,5,2,True,True
25934565,2,1,2,True,False
20017910,4,3,2,True,True
19013295,4,1,4,True,False
29391065,4,1,4,True,False
16541186,1,1,1,False,False
25361814,1,1,1,False,False
26167000,1,1,1,False,False
18078022,4,2,3,True,True
29765452,1,1,1,False,False
23174369,1,1,1,False,False
15262189,1,1,1,False,False
12843167,1,1,1,False,False
15660024,1,1,1,False,False
25044013,1,1,1,False,False
15469787,1,1,1,False,False
11472706,1,1,1,False,False
20831044,2,1,2,True,False
20637495,2,1,2,True,False
26371518,2,2,1,False,True
27328402,1,1,1,False,False
12097819,1,1,1,False,False
26292631,2,1,2,True,False
23832643,3,2,2,True,True
15122876,3,1,3,True,False
24783072,1,1,1,False,False
35291435,2,1,2,True,False
35047123,3,1,3,True,False
33061398,2,2,1,False,True
36254086,5,2,3,True,True
37072863,6,4,2,True,True
33027917,3,1,3,True,False
37335632,12,3,4,True,True
36834166,2,1,2,True,False
34944529,1,1,1,False,False
37111264,10,5,2,True,True
39681502,2,1,2,True,False
37779851,2,1,2,True,False
33032778,2,1,2,True,False
37581619,1,1,1,False,False
32110075,2,2,1,False,True
34214372,2,1,2,True,False
36110517,2,1,2,True,False
32755832,1,1,1,False,False
32564765,1,1,1,False,False
33074092,1,1,1,False,False
31911428,1,1,1,False,False
33718370,3,2,2,True,True
37632947,5,2,3,True,True
37013304,4,2,2,True,True
32416728,1,1,1,False,False
34187236,3,1,3,True,False
39306297,5,2,3,True,True
40785972,1,1,1,False,False
39598213,2,1,2,True,False
34298559,1,1,1,False,False
37381761,8,4,2,True,True
39636720,2,2,1,False,True
40687577,3,2,2,True,True
33758291,3,2,2,True,True
37378123,8,4,3,True,True
35023945,4,1,4,True,False
34774554,1,1,1,False,False
22025854,4,2,2,True,True
29269983,2,1,2,True,False
20805273,2,2,1,False,True
26554793,1,1,1,False,False
29255368,5,1,5,True,False
17220473,1,1,1,False,False
16455007,1,1,1,False,False
18777490,3,1,3,True,False
24530420,4,1,4,True,False
30976187,3,1,3,True,False
14662011,4,2,2,True,True
16284747,2,1,2,True,False
16252415,1,1,1,False,False
16251546,1,1,1,False,False
16034009,1,1,1,False,False
24154932,1,1,1,False,False
16252416,1,1,1,False,False
18370567,1,1,1,False,False
21986154,2,1,2,True,False
26064990,2,1,2,True,False
19114614,1,1,1,False,False
17894827,3,1,3,True,False
23066433,5,2,5,True,False
30637231,2,2,1,False,True
20067331,1,1,1,False,False
16801565,3,1,3,True,False
24397805,4,1,4,True,False
22587686,4,2,3,True,True
21218508,3,2,2,True,True
31189741,3,1,3,True,False
17265034,2,1,2,True,False
20469785,2,1,2,True,False
17065709,1,1,1,False,False
22151023,2,2,1,False,True
12684543,3,1,3,True,False
15739976,2,1,2,True,False
15336614,1,1,1,False,False
21493741,4,1,4,True,False
19368096,2,1,2,True,False
12125227,1,1,1,False,False
17143784,1,1,1,False,False
19733353,1,1,1,False,False
24860622,4,2,3,True,True
21166851,4,1,4,True,False
15325833,5,1,5,True,False
15707477,7,1,7,True,False
16141624,3,1,3,True,False
16014756,1,1,1,False,False
19035876,1,1,1,False,False
25591893,2,2,1,False,True
15610062,1,1,1,False,False
16893378,2,2,1,False,True
32405364,5,2,4,True,True
31901240,3,2,2,True,True
35848686,3,1,3,True,False
40962548,1,1,1,False,False
35614888,1,1,1,False,False
39989520,3,1,3,True,False
31566004,1,1,1,False,False
40958209,1,1,1,False,False
37827478,2,2,1,False,True
34692794,2,2,1,False,True
33886720,1,1,1,False,False
33344072,1,1,1,False,False
35892244,1,1,1,False,False
38054983,1,1,1,False,False
32885808,1,1,1,False,False
24460631,1,1,1,False,False
26084126,1,1,1,False,False
15488879,1,1,1,False,False
15193831,1,1,1,False,False
26334272,1,1,1,False,False
29432061,1,1,1,False,False
12494218,1,1,1,False,False
15849435,1,1,1,False,False
16377918,1,1,1,False,False
11383320,2,2,1,False,True
11730833,3,1,3,True,False
18405519,1,1,1,False,False
27678432,1,1,1,False,False
9301631,1,1,1,False,False
12048142,1,1,1,False,False
16014304,1,1,1,False,False
27071286,1,1,1,False,False
12957730,3,1,3,True,False
14687909,1,1,1,False,False
12618273,1,1,1,False,False
26054671,1,1,1,False,False
11065222,1,1,1,False,False
9374129,1,1,1,False,False
22174166,1,1,1,False,False
11982954,1,1,1,False,False
30791676,2,2,1,False,True
17387131,1,1,1,False,False
15598024,1,1,1,False,False
25911077,1,1,1,False,False
25197610,2,2,1,False,True
26035753,3,1,3,True,False
10998481,1,1,1,False,False
11165973,2,2,1,False,True
14636905,3,2,2,True,True
18436117,2,2,1,False,True
22580538,1,1,1,False,False
12883464,2,1,2,True,False
12145769,1,1,1,False,False
21047146,1,1,1,False,False
31594719,1,1,1,False,False
21259004,1,1,1,False,False
12125226,1,1,1,False,False
17878756,1,1,1,False,False
15642565,1,1,1,False,False
12119208,1,1,1,False,False
15708716,2,1,2,True,False
29330433,1,1,1,False,False
26456720,2,1,2,True,False
16520721,4,2,3,True,True
19947811,3,2,2,True,True
14996484,1,1,1,False,False
18925316,1,1,1,False,False
12451426,1,1,1,False,False
19429465,2,1,2,True,False
20528641,7,2,5,True,True
14500041,1,1,1,False,False
20064494,1,1,1,False,False
12534315,2,1,2,True,False
22094353,1,1,1,False,False
12361204,1,1,1,False,False
11218969,2,2,1,False,True
25521355,1,1,1,False,False
14578611,2,2,1,False,True
21640762,1,1,1,False,False
11984215,1,1,1,False,False
14593381,2,1,2,True,False
31706904,2,2,1,False,True
20298928,2,1,2,True,False
17901886,1,1,1,False,False
12860491,4,2,2,True,True
19026303,2,2,2,False,False
16309370,1,1,1,False,False
30270066,2,2,1,False,True
34933015,2,1,2,True,False
33154658,1,1,1,False,False
32435011,8,2,5,True,True
32972181,1,1,1,False,False
32392083,1,1,1,False,False
39923225,4,1,4,True,False
39371740,4,2,2,True,True
33068036,5,1,5,True,False
40955993,7,1,7,True,False
34363847,5,2,3,True,True
38341639,2,2,1,False,True
37300680,1,1,1,False,False
36932772,1,1,1,False,False
34504874,3,1,3,True,False
34159129,2,2,1,False,True
40890828,1,1,1,False,False
32128760,1,1,1,False,False
